residue_type,atom_name,mu,sigma
HSD,HCG,0.0797,0.0797
HSP,HCG,0.0797,0.0797
HIS,ND1,0.1552,0.1552
HIS,HND1,0.1552,0.1552
HSD,ND1,0.1552,0.1552
HSP,ND1,0.1552,0.1552
HSD,HND1,0.1552,0.1552
HSP,HND1,0.1552,0.1552
HIS,NE2,0.1684,0.1684
HIS,HNE2,0.1684,0.1684
HSD,NE2,0.1684,0.1684
HSP,NE2,0.1684,0.1684
HSD,HNE2,0.1684,0.1684
HSP,HNE2,0.1684,0.1684
ILE,CB,0.0391,0.0391
ILE,HCB,0.0391,0.0391
ILE,CD1,0.1038,0.1038
ILE,HCD1,0.1038,0.1038
ILE,CG1,0.0698,0.0698
ILE,HCG1,0.0698,0.0698
ILE,CG2,0.0848,0.0848
ILE,HCG2,0.0848,0.0848
LYS,CB,0.0557,0.0557
LYS,HCB,0.0557,0.0557
LYS,CD,0.1591,0.1591
LYS,HCD,0.1591,0.1591
LYS,CE,0.1884,0.1884
LYS,HCE,0.1884,0.1884
LYS,CG,0.1124,0.1124
LYS,HCG,0.1124,0.1124
LYS,NZ,0.2341,0.2341
LYS,HNZ,0.2341,0.2341
LEU,CB,0.0571,0.0571
LEU,HCB,0.0571,0.0571
LEU,CD1,0.1228,0.1228
LEU,HCD1,0.1228,0.1228
LEU,CD2,0.1206,0.1206
LEU,HCD2,0.1206,0.1206
LEU,CG,0.0804,0.0804
LEU,HCG,0.0804,0.0804
MET,CB,0.0562,0.0562
MET,HCB,0.0562,0.0562
MET,CE,0.2078,0.2078
MET,HCE,0.2078,0.2078
MET,CG,0.111,0.111
MET,HCG,0.111,0.111
MET,SD,0.194,0.194
MET,HSD,0.194,0.194
ASN,CB,0.0561,0.0561
ASN,HCB,0.0561,0.0561
ASN,CG,0.0942,0.0942
ASN,HCG,0.0942,0.0942
ASN,ND2,0.1582,0.1582
ASN,HND2,0.1582,0.1582
ASN,OD1,0.1513,0.1513
ASN,HOD1,0.1513,0.1513
PRO,CB,0.1186,0.1186
PRO,HCB,0.1186,0.1186
PRO,CD,0.2444,0.2444
PRO,HCD,0.2444,0.2444
PRO,CG,0.2228,0.2228
PRO,HCG,0.2228,0.2228
GLN,CB,0.054,0.054
GLN,HCB,0.054,0.054
GLN,CD,0.1288,0.1288
GLN,HCD,0.1288,0.1288
GLN,CG,0.1215,0.1215
GLN,HCG,0.1215,0.1215
GLN,NE2,0.2272,0.2272
GLN,HNE2,0.2272,0.2272
GLN,OE1,0.207,0.207
GLN,HOE1,0.207,0.207
ARG,CB,0.0592,0.0592
ARG,HCB,0.0592,0.0592
ARG,CD,0.1932,0.1932
ARG,HCD,0.1932,0.1932
ARG,CG,0.1289,0.1289
ARG,HCG,0.1289,0.1289
ARG,CZ,0.2003,0.2003
ARG,HCZ,0.2003,0.2003
ARG,NE,0.2095,0.2095
ARG,HNE,0.2095,0.2095
ARG,NH1,0.3436,0.3436
ARG,HNH1,0.3436,0.3436
ARG,NH2,0.2983,0.2983
ARG,HNH2,0.2983,0.2983
SER,CB,0.0667,0.0667
SER,HCB,0.0667,0.0667
SER,OG,0.1288,0.1288
SER,HOG,0.1288,0.1288
THR,CB,0.0574,0.0574
THR,HCB,0.0574,0.0574
THR,CG2,0.109,0.109
THR,HCG2,0.109,0.109
THR,OG1,0.1058,0.1058
THR,HOG1,0.1058,0.1058
VAL,CB,0.0404,0.0404
VAL,HCB,0.0404,0.0404
VAL,CG1,0.0841,0.0841
VAL,HCG1,0.0841,0.0841
VAL,CG2,0.0869,0.0869
VAL,HCG2,0.0869,0.0869
TRP,CB,0.0564,0.0564
TRP,HCB,0.0564,0.0564
TRP,CD1,0.136,0.136
TRP,HCD1,0.136,0.136
TRP,CD2,0.0981,0.0981
TRP,HCD2,0.0981,0.0981
TRP,CE2,0.1294,0.1294
TRP,HCE2,0.1294,0.1294
TRP,CE3,0.1483,0.1483
TRP,HCE3,0.1483,0.1483
TRP,CG,0.0747,0.0747
TRP,HCG,0.0747,0.0747
TRP,CH2,0.1873,0.1873
TRP,HCH2,0.1873,0.1873
TRP,CZ2,0.1671,0.1671
TRP,HCZ2,0.1671,0.1671
TRP,CZ3,0.1908,0.1908
TRP,HCZ3,0.1908,0.1908
TRP,NE1,0.1604,0.1604
TRP,HNE1,0.1604,0.1604
TYR,CB,0.0572,0.0572
TYR,HCB,0.0572,0.0572
TYR,CD1,0.1254,0.1254
TYR,HCD1,0.1254,0.1254
TYR,CD2,0.127,0.127
TYR,HCD2,0.127,0.127
TYR,CE1,0.1526,0.1526
TYR,HCE1,0.1526,0.1526
TYR,CE2,0.1537,0.1537
TYR,HCE2,0.1537,0.1537
TYR,CG,0.0748,0.0748
TYR,HCG,0.0748,0.0748
TYR,CZ,0.1416,0.1416
TYR,HCZ,0.1416,0.1416
TYR,OH,0.2053,0.2053
TYR,HOH,0.2053,0.2053
ALA,CB,0.0589,0.0589
ALA,HCB,0.0589,0.0589
