res_type,atom_name,mu,sigma
HSP,HCG,0.2017,0.2017
HIS,ND1,0.8214,0.8214
HIS,HND1,0.8214,0.8214
HSD,ND1,0.8214,0.8214
HSP,ND1,0.8214,0.8214
HSD,HND1,0.8214,0.8214
HSP,HND1,0.8214,0.8214
HIS,NE2,0.5655,0.5655
HIS,HNE2,0.5655,0.5655
HSD,NE2,0.5655,0.5655
HSP,NE2,0.5655,0.5655
HSD,HNE2,0.5655,0.5655
HSP,HNE2,0.5655,0.5655
ILE,CB,0.0391,0.0391
ILE,HCB,0.0391,0.0391
ILE,CD1,1.3833,1.3833
ILE,HCD1,1.3833,1.3833
ILE,CG1,1.1836,1.1836
ILE,HCG1,1.1836,1.1836
ILE,CG2,1.1861,1.1861
ILE,HCG2,1.1861,1.1861
LYS,CB,0.0557,0.0557
LYS,HCB,0.0557,0.0557
LYS,CD,0.3808,0.3808
LYS,HCD,0.3808,0.3808
LYS,CE,0.7879,0.7879
LYS,HCE,0.7879,0.7879
LYS,CG,0.2622,0.2622
LYS,HCG,0.2622,0.2622
LYS,NZ,1.1251,1.1251
LYS,HNZ,1.1251,1.1251
LEU,CB,0.0571,0.0571
LEU,HCB,0.0571,0.0571
LEU,CD1,0.2996,0.2996
LEU,HCD1,0.2996,0.2996
LEU,CD2,0.3322,0.3322
LEU,HCD2,0.3322,0.3322
LEU,CG,0.1543,0.1543
LEU,HCG,0.1543,0.1543
MET,CB,0.0562,0.0562
MET,HCB,0.0562,0.0562
MET,CE,1.2493,1.2493
MET,HCE,1.2493,1.2493
MET,CG,0.2764,0.2764
MET,HCG,0.2764,0.2764
MET,SD,0.5716,0.5716
MET,HSD,0.5716,0.5716
ASN,CB,0.0561,0.0561
ASN,HCB,0.0561,0.0561
ASN,CG,0.1955,0.1955
ASN,HCG,0.1955,0.1955
ASN,ND2,0.8342,0.8342
ASN,HND2,0.8342,0.8342
ASN,OD1,0.8032,0.8032
ASN,HOD1,0.8032,0.8032
PRO,CB,0.1186,0.1186
PRO,HCB,0.1186,0.1186
PRO,CD,0.2444,0.2444
PRO,HCD,0.2444,0.2444
PRO,CG,0.2228,0.2228
PRO,HCG,0.2228,0.2228
GLN,CB,0.054,0.054
GLN,HCB,0.054,0.054
GLN,CD,0.4139,0.4139
GLN,HCD,0.4139,0.4139
GLN,CG,0.2786,0.2786
GLN,HCG,0.2786,0.2786
GLN,NE2,0.9344,0.9344
GLN,HNE2,0.9344,0.9344
GLN,OE1,0.842,0.842
GLN,HOE1,0.842,0.842
ARG,CB,0.0592,0.0592
ARG,HCB,0.0592,0.0592
ARG,CD,0.6334,0.6334
ARG,HCD,0.6334,0.6334
ARG,CG,0.4908,0.4908
ARG,HCG,0.4908,0.4908
ARG,CZ,0.8784,0.8784
ARG,HCZ,0.8784,0.8784
ARG,NE,0.7575,0.7575
ARG,HNE,0.7575,0.7575
ARG,NH1,1.2436,1.2436
ARG,HNH1,1.2436,1.2436
ARG,NH2,1.0504,1.0504
ARG,HNH2,1.0504,1.0504
SER,CB,0.0667,0.0667
SER,HCB,0.0667,0.0667
SER,OG,1.1818,1.1818
SER,HOG,1.1818,1.1818
THR,CB,0.0574,0.0574
THR,HCB,0.0574,0.0574
THR,CG2,0.9914,0.9914
THR,HCG2,0.9914,0.9914
THR,OG1,0.9325,0.9325
THR,HOG1,0.9325,0.9325
VAL,CB,0.0404,0.0404
VAL,HCB,0.0404,0.0404
VAL,CG1,1.2286,1.2286
VAL,HCG1,1.2286,1.2286
VAL,CG2,1.2308,1.2308
VAL,HCG2,1.2308,1.2308
TRP,CB,0.0564,0.0564
TRP,HCB,0.0564,0.0564
TRP,CD1,0.3631,0.3631
TRP,HCD1,0.3631,0.3631
TRP,CD2,0.4149,0.4149
TRP,HCD2,0.4149,0.4149
TRP,CE2,0.4964,0.4964
TRP,HCE2,0.4964,0.4964
TRP,CE3,0.6521,0.6521
TRP,HCE3,0.6521,0.6521
TRP,CG,0.19,0.19
TRP,HCG,0.19,0.19
TRP,CH2,0.9263,0.9263
TRP,HCH2,0.9263,0.9263
TRP,CZ2,0.7292,0.7292
TRP,HCZ2,0.7292,0.7292
TRP,CZ3,0.9085,0.9085
TRP,HCZ3,0.9085,0.9085
TRP,NE1,0.4561,0.4561
TRP,HNE1,0.4561,0.4561
TYR,CB,0.0572,0.0572
TYR,HCB,0.0572,0.0572
TYR,CD1,0.4041,0.4041
TYR,HCD1,0.4041,0.4041
TYR,CD2,0.4068,0.4068
TYR,HCD2,0.4068,0.4068
TYR,CE1,0.525,0.525
TYR,HCE1,0.525,0.525
TYR,CE2,0.5466,0.5466
TYR,HCE2,0.5466,0.5466
TYR,CG,0.1768,0.1768
TYR,HCG,0.1768,0.1768
TYR,CZ,0.5164,0.5164
TYR,HCZ,0.5164,0.5164
TYR,OH,0.6971,0.6971
TYR,HOH,0.6971,0.6971
ALA,CB,0.0589,0.0589
ALA,HCB,0.0589,0.0589
