residue_type,atom_name,mu,sigma
HSD,HCG,0.1197,0.1197
HSP,HCG,0.1197,0.1197
HIS,ND1,0.2945,0.2945
HIS,HND1,0.2945,0.2945
HSD,ND1,0.2945,0.2945
HSP,ND1,0.2945,0.2945
HSD,HND1,0.2945,0.2945
HSP,HND1,0.2945,0.2945
HIS,NE2,0.3157,0.3157
HIS,HNE2,0.3157,0.3157
HSD,NE2,0.3157,0.3157
HSP,NE2,0.3157,0.3157
HSD,HNE2,0.3157,0.3157
HSP,HNE2,0.3157,0.3157
ILE,CB,0.0391,0.0391
ILE,HCB,0.0391,0.0391
ILE,CD1,0.2088,0.2088
ILE,HCD1,0.2088,0.2088
ILE,CG1,0.1459,0.1459
ILE,HCG1,0.1459,0.1459
ILE,CG2,0.1447,0.1447
ILE,HCG2,0.1447,0.1447
LYS,CB,0.0557,0.0557
LYS,HCB,0.0557,0.0557
LYS,CD,0.2348,0.2348
LYS,HCD,0.2348,0.2348
LYS,CE,0.3389,0.3389
LYS,HCE,0.3389,0.3389
LYS,CG,0.1503,0.1503
LYS,HCG,0.1503,0.1503
LYS,NZ,0.421,0.421
LYS,HNZ,0.421,0.421
LEU,CB,0.0571,0.0571
LEU,HCB,0.0571,0.0571
LEU,CD1,0.2187,0.2187
LEU,HCD1,0.2187,0.2187
LEU,CD2,0.2482,0.2482
LEU,HCD2,0.2482,0.2482
LEU,CG,0.1417,0.1417
LEU,HCG,0.1417,0.1417
MET,CB,0.0562,0.0562
MET,HCB,0.0562,0.0562
MET,CE,0.3692,0.3692
MET,HCE,0.3692,0.3692
MET,CG,0.1596,0.1596
MET,HCG,0.1596,0.1596
MET,SD,0.2811,0.2811
MET,HSD,0.2811,0.2811
ASN,CB,0.0561,0.0561
ASN,HCB,0.0561,0.0561
ASN,CG,0.1492,0.1492
ASN,HCG,0.1492,0.1492
ASN,ND2,0.3575,0.3575
ASN,HND2,0.3575,0.3575
ASN,OD1,0.3227,0.3227
ASN,HOD1,0.3227,0.3227
PRO,CB,0.1186,0.1186
PRO,HCB,0.1186,0.1186
PRO,CD,0.2444,0.2444
PRO,HCD,0.2444,0.2444
PRO,CG,0.2228,0.2228
PRO,HCG,0.2228,0.2228
GLN,CB,0.054,0.054
GLN,HCB,0.054,0.054
GLN,CD,0.2169,0.2169
GLN,HCD,0.2169,0.2169
GLN,CG,0.183,0.183
GLN,HCG,0.183,0.183
GLN,NE2,0.3674,0.3674
GLN,HNE2,0.3674,0.3674
GLN,OE1,0.3877,0.3877
GLN,HOE1,0.3877,0.3877
ARG,CB,0.0592,0.0592
ARG,HCB,0.0592,0.0592
ARG,CD,0.2665,0.2665
ARG,HCD,0.2665,0.2665
ARG,CG,0.1478,0.1478
ARG,HCG,0.1478,0.1478
ARG,CZ,0.3237,0.3237
ARG,HCZ,0.3237,0.3237
ARG,NE,0.2945,0.2945
ARG,HNE,0.2945,0.2945
ARG,NH1,0.4726,0.4726
ARG,HNH1,0.4726,0.4726
ARG,NH2,0.4851,0.4851
ARG,HNH2,0.4851,0.4851
SER,CB,0.0667,0.0667
SER,HCB,0.0667,0.0667
SER,OG,0.2289,0.2289
SER,HOG,0.2289,0.2289
THR,CB,0.0574,0.0574
THR,HCB,0.0574,0.0574
THR,CG2,0.1627,0.1627
THR,HCG2,0.1627,0.1627
THR,OG1,0.1769,0.1769
THR,HOG1,0.1769,0.1769
VAL,CB,0.0404,0.0404
VAL,HCB,0.0404,0.0404
VAL,CG1,0.1251,0.1251
VAL,HCG1,0.1251,0.1251
VAL,CG2,0.1378,0.1378
VAL,HCG2,0.1378,0.1378
TRP,CB,0.0564,0.0564
TRP,HCB,0.0564,0.0564
TRP,CD1,0.2012,0.2012
TRP,HCD1,0.2012,0.2012
TRP,CD2,0.146,0.146
TRP,HCD2,0.146,0.146
TRP,CE2,0.2117,0.2117
TRP,HCE2,0.2117,0.2117
TRP,CE3,0.2173,0.2173
TRP,HCE3,0.2173,0.2173
TRP,CG,0.1007,0.1007
TRP,HCG,0.1007,0.1007
TRP,CH2,0.3053,0.3053
TRP,HCH2,0.3053,0.3053
TRP,CZ2,0.2821,0.2821
TRP,HCZ2,0.2821,0.2821
TRP,CZ3,0.2966,0.2966
TRP,HCZ3,0.2966,0.2966
TRP,NE1,0.2499,0.2499
TRP,HNE1,0.2499,0.2499
TYR,CB,0.0572,0.0572
TYR,HCB,0.0572,0.0572
TYR,CD1,0.219,0.219
TYR,HCD1,0.219,0.219
TYR,CD2,0.2272,0.2272
TYR,HCD2,0.2272,0.2272
TYR,CE1,0.2833,0.2833
TYR,HCE1,0.2833,0.2833
TYR,CE2,0.2974,0.2974
TYR,HCE2,0.2974,0.2974
TYR,CG,0.1003,0.1003
TYR,HCG,0.1003,0.1003
TYR,CZ,0.2778,0.2778
TYR,HCZ,0.2778,0.2778
TYR,OH,0.3914,0.3914
TYR,HOH,0.3914,0.3914
ALA,CB,0.0589,0.0589
ALA,HCB,0.0589,0.0589
