res_type,atom_name,mu,sigma
HSD,HCG,0.0854,0.0854
HSP,HCG,0.0854,0.0854
HIS,ND1,0.166,0.166
HIS,HND1,0.166,0.166
HSD,ND1,0.166,0.166
HSP,ND1,0.166,0.166
HSD,HND1,0.166,0.166
HSP,HND1,0.166,0.166
HIS,NE2,0.1899,0.1899
HIS,HNE2,0.1899,0.1899
HSD,NE2,0.1899,0.1899
HSP,NE2,0.1899,0.1899
HSD,HNE2,0.1899,0.1899
HSP,HNE2,0.1899,0.1899
ILE,CB,0.0391,0.0391
ILE,HCB,0.0391,0.0391
ILE,CD1,0.1277,0.1277
ILE,HCD1,0.1277,0.1277
ILE,CG1,0.0796,0.0796
ILE,HCG1,0.0796,0.0796
ILE,CG2,0.0917,0.0917
ILE,HCG2,0.0917,0.0917
LYS,CB,0.0557,0.0557
LYS,HCB,0.0557,0.0557
LYS,CD,0.1691,0.1691
LYS,HCD,0.1691,0.1691
LYS,CE,0.1977,0.1977
LYS,HCE,0.1977,0.1977
LYS,CG,0.1168,0.1168
LYS,HCG,0.1168,0.1168
LYS,NZ,0.2564,0.2564
LYS,HNZ,0.2564,0.2564
LEU,CB,0.0571,0.0571
LEU,HCB,0.0571,0.0571
LEU,CD1,0.1489,0.1489
LEU,HCD1,0.1489,0.1489
LEU,CD2,0.139,0.139
LEU,HCD2,0.139,0.139
LEU,CG,0.0908,0.0908
LEU,HCG,0.0908,0.0908
MET,CB,0.0562,0.0562
MET,HCB,0.0562,0.0562
MET,CE,0.2375,0.2375
MET,HCE,0.2375,0.2375
MET,CG,0.1134,0.1134
MET,HCG,0.1134,0.1134
MET,SD,0.2087,0.2087
MET,HSD,0.2087,0.2087
ASN,CB,0.0561,0.0561
ASN,HCB,0.0561,0.0561
ASN,CG,0.1029,0.1029
ASN,HCG,0.1029,0.1029
ASN,ND2,0.1856,0.1856
ASN,HND2,0.1856,0.1856
ASN,OD1,0.1713,0.1713
ASN,HOD1,0.1713,0.1713
PRO,CB,0.1186,0.1186
PRO,HCB,0.1186,0.1186
PRO,CD,0.2444,0.2444
PRO,HCD,0.2444,0.2444
PRO,CG,0.2228,0.2228
PRO,HCG,0.2228,0.2228
GLN,CB,0.054,0.054
GLN,HCB,0.054,0.054
GLN,CD,0.1398,0.1398
GLN,HCD,0.1398,0.1398
GLN,CG,0.1204,0.1204
GLN,HCG,0.1204,0.1204
GLN,NE2,0.243,0.243
GLN,HNE2,0.243,0.243
GLN,OE1,0.2362,0.2362
GLN,HOE1,0.2362,0.2362
ARG,CB,0.0592,0.0592
ARG,HCB,0.0592,0.0592
ARG,CD,0.2058,0.2058
ARG,HCD,0.2058,0.2058
ARG,CG,0.1297,0.1297
ARG,HCG,0.1297,0.1297
ARG,CZ,0.2091,0.2091
ARG,HCZ,0.2091,0.2091
ARG,NE,0.224,0.224
ARG,HNE,0.224,0.224
ARG,NH1,0.3478,0.3478
ARG,HNH1,0.3478,0.3478
ARG,NH2,0.3269,0.3269
ARG,HNH2,0.3269,0.3269
SER,CB,0.0667,0.0667
SER,HCB,0.0667,0.0667
SER,OG,0.147,0.147
SER,HOG,0.147,0.147
THR,CB,0.0574,0.0574
THR,HCB,0.0574,0.0574
THR,CG2,0.1183,0.1183
THR,HCG2,0.1183,0.1183
THR,OG1,0.1171,0.1171
THR,HOG1,0.1171,0.1171
VAL,CB,0.0404,0.0404
VAL,HCB,0.0404,0.0404
VAL,CG1,0.0986,0.0986
VAL,HCG1,0.0986,0.0986
VAL,CG2,0.1059,0.1059
VAL,HCG2,0.1059,0.1059
TRP,CB,0.0564,0.0564
TRP,HCB,0.0564,0.0564
TRP,CD1,0.1538,0.1538
TRP,HCD1,0.1538,0.1538
TRP,CD2,0.1065,0.1065
TRP,HCD2,0.1065,0.1065
TRP,CE2,0.1401,0.1401
TRP,HCE2,0.1401,0.1401
TRP,CE3,0.1747,0.1747
TRP,HCE3,0.1747,0.1747
TRP,CG,0.0786,0.0786
TRP,HCG,0.0786,0.0786
TRP,CH2,0.2092,0.2092
TRP,HCH2,0.2092,0.2092
TRP,CZ2,0.1803,0.1803
TRP,HCZ2,0.1803,0.1803
TRP,CZ3,0.2245,0.2245
TRP,HCZ3,0.2245,0.2245
TRP,NE1,0.1816,0.1816
TRP,HNE1,0.1816,0.1816
TYR,CB,0.0572,0.0572
TYR,HCB,0.0572,0.0572
TYR,CD1,0.1453,0.1453
TYR,HCD1,0.1453,0.1453
TYR,CD2,0.1344,0.1344
TYR,HCD2,0.1344,0.1344
TYR,CE1,0.1798,0.1798
TYR,HCE1,0.1798,0.1798
TYR,CE2,0.1655,0.1655
TYR,HCE2,0.1655,0.1655
TYR,CG,0.0821,0.0821
TYR,HCG,0.0821,0.0821
TYR,CZ,0.1653,0.1653
TYR,HCZ,0.1653,0.1653
TYR,OH,0.2335,0.2335
TYR,HOH,0.2335,0.2335
ALA,CB,0.0589,0.0589
ALA,HCB,0.0589,0.0589
