res_type,atom_name,mu,sigma
HSP,HCG,0.2011,0.2011
HIS,ND1,0.824,0.824
HIS,HND1,0.824,0.824
HSD,ND1,0.824,0.824
HSP,ND1,0.824,0.824
HSD,HND1,0.824,0.824
HSP,HND1,0.824,0.824
HIS,NE2,0.5319,0.5319
HIS,HNE2,0.5319,0.5319
HSD,NE2,0.5319,0.5319
HSP,NE2,0.5319,0.5319
HSD,HNE2,0.5319,0.5319
HSP,HNE2,0.5319,0.5319
ILE,CB,0.0391,0.0391
ILE,HCB,0.0391,0.0391
ILE,CD1,1.1102,1.1102
ILE,HCD1,1.1102,1.1102
ILE,CG1,0.1788,0.1788
ILE,HCG1,0.1788,0.1788
ILE,CG2,0.1697,0.1697
ILE,HCG2,0.1697,0.1697
LYS,CB,0.0557,0.0557
LYS,HCB,0.0557,0.0557
LYS,CD,0.378,0.378
LYS,HCD,0.378,0.378
LYS,CE,0.6833,0.6833
LYS,HCE,0.6833,0.6833
LYS,CG,0.232,0.232
LYS,HCG,0.232,0.232
LYS,NZ,1.022,1.022
LYS,HNZ,1.022,1.022
LEU,CB,0.0571,0.0571
LEU,HCB,0.0571,0.0571
LEU,CD1,0.3062,0.3062
LEU,HCD1,0.3062,0.3062
LEU,CD2,0.3369,0.3369
LEU,HCD2,0.3369,0.3369
LEU,CG,0.1562,0.1562
LEU,HCG,0.1562,0.1562
MET,CB,0.0562,0.0562
MET,HCB,0.0562,0.0562
MET,CE,1.1773,1.1773
MET,HCE,1.1773,1.1773
MET,CG,0.2616,0.2616
MET,HCG,0.2616,0.2616
MET,SD,0.4954,0.4954
MET,HSD,0.4954,0.4954
ASN,CB,0.0561,0.0561
ASN,HCB,0.0561,0.0561
ASN,CG,0.1936,0.1936
ASN,HCG,0.1936,0.1936
ASN,ND2,0.8036,0.8036
ASN,HND2,0.8036,0.8036
ASN,OD1,0.728,0.728
ASN,HOD1,0.728,0.728
PRO,CB,0.1186,0.1186
PRO,HCB,0.1186,0.1186
PRO,CD,0.2444,0.2444
PRO,HCD,0.2444,0.2444
PRO,CG,0.2228,0.2228
PRO,HCG,0.2228,0.2228
GLN,CB,0.054,0.054
GLN,HCB,0.054,0.054
GLN,CD,0.3069,0.3069
GLN,HCD,0.3069,0.3069
GLN,CG,0.2169,0.2169
GLN,HCG,0.2169,0.2169
GLN,NE2,0.8195,0.8195
GLN,HNE2,0.8195,0.8195
GLN,OE1,0.8008,0.8008
GLN,HOE1,0.8008,0.8008
ARG,CB,0.0592,0.0592
ARG,HCB,0.0592,0.0592
ARG,CD,0.4656,0.4656
ARG,HCD,0.4656,0.4656
ARG,CG,0.2553,0.2553
ARG,HCG,0.2553,0.2553
ARG,CZ,0.7505,0.7505
ARG,HCZ,0.7505,0.7505
ARG,NE,0.6121,0.6121
ARG,HNE,0.6121,0.6121
ARG,NH1,1.1093,1.1093
ARG,HNH1,1.1093,1.1093
ARG,NH2,0.9371,0.9371
ARG,HNH2,0.9371,0.9371
SER,CB,0.0667,0.0667
SER,HCB,0.0667,0.0667
SER,OG,1.1818,1.1818
SER,HOG,1.1818,1.1818
THR,CB,0.0574,0.0574
THR,HCB,0.0574,0.0574
THR,CG2,0.9914,0.9914
THR,HCG2,0.9914,0.9914
THR,OG1,0.9325,0.9325
THR,HOG1,0.9325,0.9325
VAL,CB,0.0404,0.0404
VAL,HCB,0.0404,0.0404
VAL,CG1,0.4807,0.4807
VAL,HCG1,0.4807,0.4807
VAL,CG2,0.5441,0.5441
VAL,HCG2,0.5441,0.5441
TRP,CB,0.0564,0.0564
TRP,HCB,0.0564,0.0564
TRP,CD1,0.3811,0.3811
TRP,HCD1,0.3811,0.3811
TRP,CD2,0.3806,0.3806
TRP,HCD2,0.3806,0.3806
TRP,CE2,0.4571,0.4571
TRP,HCE2,0.4571,0.4571
TRP,CE3,0.6181,0.6181
TRP,HCE3,0.6181,0.6181
TRP,CG,0.1848,0.1848
TRP,HCG,0.1848,0.1848
TRP,CH2,0.8496,0.8496
TRP,HCH2,0.8496,0.8496
TRP,CZ2,0.659,0.659
TRP,HCZ2,0.659,0.659
TRP,CZ3,0.8533,0.8533
TRP,HCZ3,0.8533,0.8533
TRP,NE1,0.4682,0.4682
TRP,HNE1,0.4682,0.4682
TYR,CB,0.0572,0.0572
TYR,HCB,0.0572,0.0572
TYR,CD1,0.4085,0.4085
TYR,HCD1,0.4085,0.4085
TYR,CD2,0.4146,0.4146
TYR,HCD2,0.4146,0.4146
TYR,CE1,0.5211,0.5211
TYR,HCE1,0.5211,0.5211
TYR,CE2,0.5503,0.5503
TYR,HCE2,0.5503,0.5503
TYR,CG,0.1733,0.1733
TYR,HCG,0.1733,0.1733
TYR,CZ,0.5035,0.5035
TYR,HCZ,0.5035,0.5035
TYR,OH,0.6833,0.6833
TYR,HOH,0.6833,0.6833
ALA,CB,0.0589,0.0589
ALA,HCB,0.0589,0.0589
