res_type,atom_name,mu,sigma
HSD,HCG,0.0888,0.0888
HSP,HCG,0.0888,0.0888
HIS,ND1,0.1998,0.1998
HIS,HND1,0.1998,0.1998
HSD,ND1,0.1998,0.1998
HSP,ND1,0.1998,0.1998
HSD,HND1,0.1998,0.1998
HSP,HND1,0.1998,0.1998
HIS,NE2,0.2153,0.2153
HIS,HNE2,0.2153,0.2153
HSD,NE2,0.2153,0.2153
HSP,NE2,0.2153,0.2153
HSD,HNE2,0.2153,0.2153
HSP,HNE2,0.2153,0.2153
ILE,CB,0.0391,0.0391
ILE,HCB,0.0391,0.0391
ILE,CD1,0.1609,0.1609
ILE,HCD1,0.1609,0.1609
ILE,CG1,0.0943,0.0943
ILE,HCG1,0.0943,0.0943
ILE,CG2,0.0955,0.0955
ILE,HCG2,0.0955,0.0955
LYS,CB,0.0557,0.0557
LYS,HCB,0.0557,0.0557
LYS,CD,0.1838,0.1838
LYS,HCD,0.1838,0.1838
LYS,CE,0.2319,0.2319
LYS,HCE,0.2319,0.2319
LYS,CG,0.1277,0.1277
LYS,HCG,0.1277,0.1277
LYS,NZ,0.2675,0.2675
LYS,HNZ,0.2675,0.2675
LEU,CB,0.0571,0.0571
LEU,HCB,0.0571,0.0571
LEU,CD1,0.1647,0.1647
LEU,HCD1,0.1647,0.1647
LEU,CD2,0.1655,0.1655
LEU,HCD2,0.1655,0.1655
LEU,CG,0.1015,0.1015
LEU,HCG,0.1015,0.1015
MET,CB,0.0562,0.0562
MET,HCB,0.0562,0.0562
MET,CE,0.2524,0.2524
MET,HCE,0.2524,0.2524
MET,CG,0.1313,0.1313
MET,HCG,0.1313,0.1313
MET,SD,0.2393,0.2393
MET,HSD,0.2393,0.2393
ASN,CB,0.0561,0.0561
ASN,HCB,0.0561,0.0561
ASN,CG,0.1116,0.1116
ASN,HCG,0.1116,0.1116
ASN,ND2,0.2083,0.2083
ASN,HND2,0.2083,0.2083
ASN,OD1,0.1953,0.1953
ASN,HOD1,0.1953,0.1953
PRO,CB,0.1186,0.1186
PRO,HCB,0.1186,0.1186
PRO,CD,0.2444,0.2444
PRO,HCD,0.2444,0.2444
PRO,CG,0.2228,0.2228
PRO,HCG,0.2228,0.2228
GLN,CB,0.054,0.054
GLN,HCB,0.054,0.054
GLN,CD,0.1574,0.1574
GLN,HCD,0.1574,0.1574
GLN,CG,0.1378,0.1378
GLN,HCG,0.1378,0.1378
GLN,NE2,0.2619,0.2619
GLN,HNE2,0.2619,0.2619
GLN,OE1,0.2622,0.2622
GLN,HOE1,0.2622,0.2622
ARG,CB,0.0592,0.0592
ARG,HCB,0.0592,0.0592
ARG,CD,0.2161,0.2161
ARG,HCD,0.2161,0.2161
ARG,CG,0.1364,0.1364
ARG,HCG,0.1364,0.1364
ARG,CZ,0.2435,0.2435
ARG,HCZ,0.2435,0.2435
ARG,NE,0.2377,0.2377
ARG,HNE,0.2377,0.2377
ARG,NH1,0.3978,0.3978
ARG,HNH1,0.3978,0.3978
ARG,NH2,0.3407,0.3407
ARG,HNH2,0.3407,0.3407
SER,CB,0.0667,0.0667
SER,HCB,0.0667,0.0667
SER,OG,0.1675,0.1675
SER,HOG,0.1675,0.1675
THR,CB,0.0574,0.0574
THR,HCB,0.0574,0.0574
THR,CG2,0.1329,0.1329
THR,HCG2,0.1329,0.1329
THR,OG1,0.1359,0.1359
THR,HOG1,0.1359,0.1359
VAL,CB,0.0404,0.0404
VAL,HCB,0.0404,0.0404
VAL,CG1,0.113,0.113
VAL,HCG1,0.113,0.113
VAL,CG2,0.1225,0.1225
VAL,HCG2,0.1225,0.1225
TRP,CB,0.0564,0.0564
TRP,HCB,0.0564,0.0564
TRP,CD1,0.1451,0.1451
TRP,HCD1,0.1451,0.1451
TRP,CD2,0.1131,0.1131
TRP,HCD2,0.1131,0.1131
TRP,CE2,0.1526,0.1526
TRP,HCE2,0.1526,0.1526
TRP,CE3,0.1692,0.1692
TRP,HCE3,0.1692,0.1692
TRP,CG,0.0795,0.0795
TRP,HCG,0.0795,0.0795
TRP,CH2,0.2356,0.2356
TRP,HCH2,0.2356,0.2356
TRP,CZ2,0.2063,0.2063
TRP,HCZ2,0.2063,0.2063
TRP,CZ3,0.2305,0.2305
TRP,HCZ3,0.2305,0.2305
TRP,NE1,0.1781,0.1781
TRP,HNE1,0.1781,0.1781
TYR,CB,0.0572,0.0572
TYR,HCB,0.0572,0.0572
TYR,CD1,0.1591,0.1591
TYR,HCD1,0.1591,0.1591
TYR,CD2,0.1474,0.1474
TYR,HCD2,0.1474,0.1474
TYR,CE1,0.199,0.199
TYR,HCE1,0.199,0.199
TYR,CE2,0.183,0.183
TYR,HCE2,0.183,0.183
TYR,CG,0.0828,0.0828
TYR,HCG,0.0828,0.0828
TYR,CZ,0.1788,0.1788
TYR,HCZ,0.1788,0.1788
TYR,OH,0.2544,0.2544
TYR,HOH,0.2544,0.2544
ALA,CB,0.0589,0.0589
ALA,HCB,0.0589,0.0589
