residue_type,atom_name,mu,sigma
HSD,HCG,0.1478,0.1478
HSP,HCG,0.1478,0.1478
HIS,ND1,0.4104,0.4104
HIS,HND1,0.4104,0.4104
HSD,ND1,0.4104,0.4104
HSP,ND1,0.4104,0.4104
HSD,HND1,0.4104,0.4104
HSP,HND1,0.4104,0.4104
HIS,NE2,0.4185,0.4185
HIS,HNE2,0.4185,0.4185
HSD,NE2,0.4185,0.4185
HSP,NE2,0.4185,0.4185
HSD,HNE2,0.4185,0.4185
HSP,HNE2,0.4185,0.4185
ILE,CB,0.0391,0.0391
ILE,HCB,0.0391,0.0391
ILE,CD1,0.2911,0.2911
ILE,HCD1,0.2911,0.2911
ILE,CG1,0.1641,0.1641
ILE,HCG1,0.1641,0.1641
ILE,CG2,0.1591,0.1591
ILE,HCG2,0.1591,0.1591
LYS,CB,0.0557,0.0557
LYS,HCB,0.0557,0.0557
LYS,CD,0.3105,0.3105
LYS,HCD,0.3105,0.3105
LYS,CE,0.4463,0.4463
LYS,HCE,0.4463,0.4463
LYS,CG,0.1895,0.1895
LYS,HCG,0.1895,0.1895
LYS,NZ,0.6734,0.6734
LYS,HNZ,0.6734,0.6734
LEU,CB,0.0571,0.0571
LEU,HCB,0.0571,0.0571
LEU,CD1,0.2309,0.2309
LEU,HCD1,0.2309,0.2309
LEU,CD2,0.2577,0.2577
LEU,HCD2,0.2577,0.2577
LEU,CG,0.1501,0.1501
LEU,HCG,0.1501,0.1501
MET,CB,0.0562,0.0562
MET,HCB,0.0562,0.0562
MET,CE,0.4672,0.4672
MET,HCE,0.4672,0.4672
MET,CG,0.1865,0.1865
MET,HCG,0.1865,0.1865
MET,SD,0.3151,0.3151
MET,HSD,0.3151,0.3151
ASN,CB,0.0561,0.0561
ASN,HCB,0.0561,0.0561
ASN,CG,0.1918,0.1918
ASN,HCG,0.1918,0.1918
ASN,ND2,0.5003,0.5003
ASN,HND2,0.5003,0.5003
ASN,OD1,0.457,0.457
ASN,HOD1,0.457,0.457
PRO,CB,0.1186,0.1186
PRO,HCB,0.1186,0.1186
PRO,CD,0.2444,0.2444
PRO,HCD,0.2444,0.2444
PRO,CG,0.2228,0.2228
PRO,HCG,0.2228,0.2228
GLN,CB,0.054,0.054
GLN,HCB,0.054,0.054
GLN,CD,0.2935,0.2935
GLN,HCD,0.2935,0.2935
GLN,CG,0.2197,0.2197
GLN,HCG,0.2197,0.2197
GLN,NE2,0.616,0.616
GLN,HNE2,0.616,0.616
GLN,OE1,0.53,0.53
GLN,HOE1,0.53,0.53
ARG,CB,0.0592,0.0592
ARG,HCB,0.0592,0.0592
ARG,CD,0.3509,0.3509
ARG,HCD,0.3509,0.3509
ARG,CG,0.1699,0.1699
ARG,HCG,0.1699,0.1699
ARG,CZ,0.4877,0.4877
ARG,HCZ,0.4877,0.4877
ARG,NE,0.4934,0.4934
ARG,HNE,0.4934,0.4934
ARG,NH1,0.7917,0.7917
ARG,HNH1,0.7917,0.7917
ARG,NH2,0.6653,0.6653
ARG,HNH2,0.6653,0.6653
SER,CB,0.0667,0.0667
SER,HCB,0.0667,0.0667
SER,OG,0.2403,0.2403
SER,HOG,0.2403,0.2403
THR,CB,0.0574,0.0574
THR,HCB,0.0574,0.0574
THR,CG2,0.1627,0.1627
THR,HCG2,0.1627,0.1627
THR,OG1,0.1821,0.1821
THR,HOG1,0.1821,0.1821
VAL,CB,0.0404,0.0404
VAL,HCB,0.0404,0.0404
VAL,CG1,0.1251,0.1251
VAL,HCG1,0.1251,0.1251
VAL,CG2,0.1378,0.1378
VAL,HCG2,0.1378,0.1378
TRP,CB,0.0564,0.0564
TRP,HCB,0.0564,0.0564
TRP,CD1,0.3095,0.3095
TRP,HCD1,0.3095,0.3095
TRP,CD2,0.277,0.277
TRP,HCD2,0.277,0.277
TRP,CE2,0.3377,0.3377
TRP,HCE2,0.3377,0.3377
TRP,CE3,0.4621,0.4621
TRP,HCE3,0.4621,0.4621
TRP,CG,0.1415,0.1415
TRP,HCG,0.1415,0.1415
TRP,CH2,0.6233,0.6233
TRP,HCH2,0.6233,0.6233
TRP,CZ2,0.488,0.488
TRP,HCZ2,0.488,0.488
TRP,CZ3,0.6344,0.6344
TRP,HCZ3,0.6344,0.6344
TRP,NE1,0.3691,0.3691
TRP,HNE1,0.3691,0.3691
TYR,CB,0.0572,0.0572
TYR,HCB,0.0572,0.0572
TYR,CD1,0.2937,0.2937
TYR,HCD1,0.2937,0.2937
TYR,CD2,0.3089,0.3089
TYR,HCD2,0.3089,0.3089
TYR,CE1,0.368,0.368
TYR,HCE1,0.368,0.368
TYR,CE2,0.4003,0.4003
TYR,HCE2,0.4003,0.4003
TYR,CG,0.1278,0.1278
TYR,HCG,0.1278,0.1278
TYR,CZ,0.3552,0.3552
TYR,HCZ,0.3552,0.3552
TYR,OH,0.4815,0.4815
TYR,HOH,0.4815,0.4815
ALA,CB,0.0589,0.0589
ALA,HCB,0.0589,0.0589
