residue_type,atom_name,mu,sigma
HSD,HCG,0.1268,0.1268
HSP,HCG,0.1268,0.1268
HIS,ND1,0.3446,0.3446
HIS,HND1,0.3446,0.3446
HSD,ND1,0.3446,0.3446
HSP,ND1,0.3446,0.3446
HSD,HND1,0.3446,0.3446
HSP,HND1,0.3446,0.3446
HIS,NE2,0.3442,0.3442
HIS,HNE2,0.3442,0.3442
HSD,NE2,0.3442,0.3442
HSP,NE2,0.3442,0.3442
HSD,HNE2,0.3442,0.3442
HSP,HNE2,0.3442,0.3442
ILE,CB,0.0391,0.0391
ILE,HCB,0.0391,0.0391
ILE,CD1,0.2474,0.2474
ILE,HCD1,0.2474,0.2474
ILE,CG1,0.1591,0.1591
ILE,HCG1,0.1591,0.1591
ILE,CG2,0.1584,0.1584
ILE,HCG2,0.1584,0.1584
LYS,CB,0.0557,0.0557
LYS,HCB,0.0557,0.0557
LYS,CD,0.2684,0.2684
LYS,HCD,0.2684,0.2684
LYS,CE,0.406,0.406
LYS,HCE,0.406,0.406
LYS,CG,0.1729,0.1729
LYS,HCG,0.1729,0.1729
LYS,NZ,0.5521,0.5521
LYS,HNZ,0.5521,0.5521
LEU,CB,0.0571,0.0571
LEU,HCB,0.0571,0.0571
LEU,CD1,0.2233,0.2233
LEU,HCD1,0.2233,0.2233
LEU,CD2,0.2529,0.2529
LEU,HCD2,0.2529,0.2529
LEU,CG,0.1489,0.1489
LEU,HCG,0.1489,0.1489
MET,CB,0.0562,0.0562
MET,HCB,0.0562,0.0562
MET,CE,0.4422,0.4422
MET,HCE,0.4422,0.4422
MET,CG,0.1957,0.1957
MET,HCG,0.1957,0.1957
MET,SD,0.3258,0.3258
MET,HSD,0.3258,0.3258
ASN,CB,0.0561,0.0561
ASN,HCB,0.0561,0.0561
ASN,CG,0.1729,0.1729
ASN,HCG,0.1729,0.1729
ASN,ND2,0.4281,0.4281
ASN,HND2,0.4281,0.4281
ASN,OD1,0.3792,0.3792
ASN,HOD1,0.3792,0.3792
PRO,CB,0.1186,0.1186
PRO,HCB,0.1186,0.1186
PRO,CD,0.2444,0.2444
PRO,HCD,0.2444,0.2444
PRO,CG,0.2228,0.2228
PRO,HCG,0.2228,0.2228
GLN,CB,0.054,0.054
GLN,HCB,0.054,0.054
GLN,CD,0.2628,0.2628
GLN,HCD,0.2628,0.2628
GLN,CG,0.1912,0.1912
GLN,HCG,0.1912,0.1912
GLN,NE2,0.5085,0.5085
GLN,HNE2,0.5085,0.5085
GLN,OE1,0.4676,0.4676
GLN,HOE1,0.4676,0.4676
ARG,CB,0.0592,0.0592
ARG,HCB,0.0592,0.0592
ARG,CD,0.2843,0.2843
ARG,HCD,0.2843,0.2843
ARG,CG,0.1684,0.1684
ARG,HCG,0.1684,0.1684
ARG,CZ,0.3977,0.3977
ARG,HCZ,0.3977,0.3977
ARG,NE,0.3603,0.3603
ARG,HNE,0.3603,0.3603
ARG,NH1,0.6116,0.6116
ARG,HNH1,0.6116,0.6116
ARG,NH2,0.568,0.568
ARG,HNH2,0.568,0.568
SER,CB,0.0667,0.0667
SER,HCB,0.0667,0.0667
SER,OG,0.2403,0.2403
SER,HOG,0.2403,0.2403
THR,CB,0.0574,0.0574
THR,HCB,0.0574,0.0574
THR,CG2,0.162,0.162
THR,HCG2,0.162,0.162
THR,OG1,0.1787,0.1787
THR,HOG1,0.1787,0.1787
VAL,CB,0.0404,0.0404
VAL,HCB,0.0404,0.0404
VAL,CG1,0.1251,0.1251
VAL,HCG1,0.1251,0.1251
VAL,CG2,0.1378,0.1378
VAL,HCG2,0.1378,0.1378
TRP,CB,0.0564,0.0564
TRP,HCB,0.0564,0.0564
TRP,CD1,0.2634,0.2634
TRP,HCD1,0.2634,0.2634
TRP,CD2,0.2098,0.2098
TRP,HCD2,0.2098,0.2098
TRP,CE2,0.2677,0.2677
TRP,HCE2,0.2677,0.2677
TRP,CE3,0.3572,0.3572
TRP,HCE3,0.3572,0.3572
TRP,CG,0.1182,0.1182
TRP,HCG,0.1182,0.1182
TRP,CH2,0.486,0.486
TRP,HCH2,0.486,0.486
TRP,CZ2,0.3812,0.3812
TRP,HCZ2,0.3812,0.3812
TRP,CZ3,0.4958,0.4958
TRP,HCZ3,0.4958,0.4958
TRP,NE1,0.3171,0.3171
TRP,HNE1,0.3171,0.3171
TYR,CB,0.0572,0.0572
TYR,HCB,0.0572,0.0572
TYR,CD1,0.2438,0.2438
TYR,HCD1,0.2438,0.2438
TYR,CD2,0.2589,0.2589
TYR,HCD2,0.2589,0.2589
TYR,CE1,0.3139,0.3139
TYR,HCE1,0.3139,0.3139
TYR,CE2,0.3391,0.3391
TYR,HCE2,0.3391,0.3391
TYR,CG,0.1098,0.1098
TYR,HCG,0.1098,0.1098
TYR,CZ,0.3125,0.3125
TYR,HCZ,0.3125,0.3125
TYR,OH,0.4312,0.4312
TYR,HOH,0.4312,0.4312
ALA,CB,0.0589,0.0589
ALA,HCB,0.0589,0.0589
