res_type,atom_name,mu,sigma
HSP,HCG,0.1813,0.1813
HIS,ND1,0.4285,0.4285
HIS,HND1,0.4285,0.4285
HSD,ND1,0.4285,0.4285
HSP,ND1,0.4285,0.4285
HSD,HND1,0.4285,0.4285
HSP,HND1,0.4285,0.4285
HIS,NE2,0.4907,0.4907
HIS,HNE2,0.4907,0.4907
HSD,NE2,0.4907,0.4907
HSP,NE2,0.4907,0.4907
HSD,HNE2,0.4907,0.4907
HSP,HNE2,0.4907,0.4907
ILE,CB,0.0391,0.0391
ILE,HCB,0.0391,0.0391
ILE,CD1,0.3928,0.3928
ILE,HCD1,0.3928,0.3928
ILE,CG1,0.2127,0.2127
ILE,HCG1,0.2127,0.2127
ILE,CG2,0.2033,0.2033
ILE,HCG2,0.2033,0.2033
LYS,CB,0.0557,0.0557
LYS,HCB,0.0557,0.0557
LYS,CD,0.3377,0.3377
LYS,HCD,0.3377,0.3377
LYS,CE,0.5236,0.5236
LYS,HCE,0.5236,0.5236
LYS,CG,0.192,0.192
LYS,HCG,0.192,0.192
LYS,NZ,0.8542,0.8542
LYS,HNZ,0.8542,0.8542
LEU,CB,0.0571,0.0571
LEU,HCB,0.0571,0.0571
LEU,CD1,0.243,0.243
LEU,HCD1,0.243,0.243
LEU,CD2,0.2606,0.2606
LEU,HCD2,0.2606,0.2606
LEU,CG,0.1528,0.1528
LEU,HCG,0.1528,0.1528
MET,CB,0.0562,0.0562
MET,HCB,0.0562,0.0562
MET,CE,0.8906,0.8906
MET,HCE,0.8906,0.8906
MET,CG,0.1818,0.1818
MET,HCG,0.1818,0.1818
MET,SD,0.4139,0.4139
MET,HSD,0.4139,0.4139
ASN,CB,0.0561,0.0561
ASN,HCB,0.0561,0.0561
ASN,CG,0.2307,0.2307
ASN,HCG,0.2307,0.2307
ASN,ND2,0.6224,0.6224
ASN,HND2,0.6224,0.6224
ASN,OD1,0.5555,0.5555
ASN,HOD1,0.5555,0.5555
PRO,CB,0.1186,0.1186
PRO,HCB,0.1186,0.1186
PRO,CD,0.2444,0.2444
PRO,HCD,0.2444,0.2444
PRO,CG,0.2228,0.2228
PRO,HCG,0.2228,0.2228
GLN,CB,0.054,0.054
GLN,HCB,0.054,0.054
GLN,CD,0.3226,0.3226
GLN,HCD,0.3226,0.3226
GLN,CG,0.2242,0.2242
GLN,HCG,0.2242,0.2242
GLN,NE2,0.7456,0.7456
GLN,HNE2,0.7456,0.7456
GLN,OE1,0.7062,0.7062
GLN,HOE1,0.7062,0.7062
ARG,CB,0.0592,0.0592
ARG,HCB,0.0592,0.0592
ARG,CD,0.4262,0.4262
ARG,HCD,0.4262,0.4262
ARG,CG,0.204,0.204
ARG,HCG,0.204,0.204
ARG,CZ,0.5558,0.5558
ARG,HCZ,0.5558,0.5558
ARG,NE,0.5429,0.5429
ARG,HNE,0.5429,0.5429
ARG,NH1,0.86,0.86
ARG,HNH1,0.86,0.86
ARG,NH2,0.7278,0.7278
ARG,HNH2,0.7278,0.7278
SER,CB,0.0667,0.0667
SER,HCB,0.0667,0.0667
SER,OG,0.4841,0.4841
SER,HOG,0.4841,0.4841
THR,CB,0.0574,0.0574
THR,HCB,0.0574,0.0574
THR,CG2,0.1627,0.1627
THR,HCG2,0.1627,0.1627
THR,OG1,0.1821,0.1821
THR,HOG1,0.1821,0.1821
VAL,CB,0.0404,0.0404
VAL,HCB,0.0404,0.0404
VAL,CG1,0.1251,0.1251
VAL,HCG1,0.1251,0.1251
VAL,CG2,0.1378,0.1378
VAL,HCG2,0.1378,0.1378
TRP,CB,0.0564,0.0564
TRP,HCB,0.0564,0.0564
TRP,CD1,0.3304,0.3304
TRP,HCD1,0.3304,0.3304
TRP,CD2,0.3227,0.3227
TRP,HCD2,0.3227,0.3227
TRP,CE2,0.3918,0.3918
TRP,HCE2,0.3918,0.3918
TRP,CE3,0.523,0.523
TRP,HCE3,0.523,0.523
TRP,CG,0.1596,0.1596
TRP,HCG,0.1596,0.1596
TRP,CH2,0.722,0.722
TRP,HCH2,0.722,0.722
TRP,CZ2,0.5632,0.5632
TRP,HCZ2,0.5632,0.5632
TRP,CZ3,0.7249,0.7249
TRP,HCZ3,0.7249,0.7249
TRP,NE1,0.4069,0.4069
TRP,HNE1,0.4069,0.4069
TYR,CB,0.0572,0.0572
TYR,HCB,0.0572,0.0572
TYR,CD1,0.3027,0.3027
TYR,HCD1,0.3027,0.3027
TYR,CD2,0.3493,0.3493
TYR,HCD2,0.3493,0.3493
TYR,CE1,0.3855,0.3855
TYR,HCE1,0.3855,0.3855
TYR,CE2,0.4662,0.4662
TYR,HCE2,0.4662,0.4662
TYR,CG,0.1431,0.1431
TYR,HCG,0.1431,0.1431
TYR,CZ,0.4123,0.4123
TYR,HCZ,0.4123,0.4123
TYR,OH,0.5594,0.5594
TYR,HOH,0.5594,0.5594
ALA,CB,0.0589,0.0589
ALA,HCB,0.0589,0.0589
