res_type,atom_name,mu,sigma
HSP,HCG,0.1627,0.1627
HIS,ND1,0.4077,0.4077
HIS,HND1,0.4077,0.4077
HSD,ND1,0.4077,0.4077
HSP,ND1,0.4077,0.4077
HSD,HND1,0.4077,0.4077
HSP,HND1,0.4077,0.4077
HIS,NE2,0.4449,0.4449
HIS,HNE2,0.4449,0.4449
HSD,NE2,0.4449,0.4449
HSP,NE2,0.4449,0.4449
HSD,HNE2,0.4449,0.4449
HSP,HNE2,0.4449,0.4449
ILE,CB,0.0391,0.0391
ILE,HCB,0.0391,0.0391
ILE,CD1,0.3314,0.3314
ILE,HCD1,0.3314,0.3314
ILE,CG1,0.1815,0.1815
ILE,HCG1,0.1815,0.1815
ILE,CG2,0.1748,0.1748
ILE,HCG2,0.1748,0.1748
LYS,CB,0.0557,0.0557
LYS,HCB,0.0557,0.0557
LYS,CD,0.3436,0.3436
LYS,HCD,0.3436,0.3436
LYS,CE,0.4985,0.4985
LYS,HCE,0.4985,0.4985
LYS,CG,0.201,0.201
LYS,HCG,0.201,0.201
LYS,NZ,0.7345,0.7345
LYS,HNZ,0.7345,0.7345
LEU,CB,0.0571,0.0571
LEU,HCB,0.0571,0.0571
LEU,CD1,0.2346,0.2346
LEU,HCD1,0.2346,0.2346
LEU,CD2,0.259,0.259
LEU,HCD2,0.259,0.259
LEU,CG,0.1522,0.1522
LEU,HCG,0.1522,0.1522
MET,CB,0.0562,0.0562
MET,HCB,0.0562,0.0562
MET,CE,0.5119,0.5119
MET,HCE,0.5119,0.5119
MET,CG,0.1976,0.1976
MET,HCG,0.1976,0.1976
MET,SD,0.3667,0.3667
MET,HSD,0.3667,0.3667
ASN,CB,0.0561,0.0561
ASN,HCB,0.0561,0.0561
ASN,CG,0.1953,0.1953
ASN,HCG,0.1953,0.1953
ASN,ND2,0.5262,0.5262
ASN,HND2,0.5262,0.5262
ASN,OD1,0.4843,0.4843
ASN,HOD1,0.4843,0.4843
PRO,CB,0.1186,0.1186
PRO,HCB,0.1186,0.1186
PRO,CD,0.2444,0.2444
PRO,HCD,0.2444,0.2444
PRO,CG,0.2228,0.2228
PRO,HCG,0.2228,0.2228
GLN,CB,0.054,0.054
GLN,HCB,0.054,0.054
GLN,CD,0.2989,0.2989
GLN,HCD,0.2989,0.2989
GLN,CG,0.1965,0.1965
GLN,HCG,0.1965,0.1965
GLN,NE2,0.6306,0.6306
GLN,HNE2,0.6306,0.6306
GLN,OE1,0.5617,0.5617
GLN,HOE1,0.5617,0.5617
ARG,CB,0.0592,0.0592
ARG,HCB,0.0592,0.0592
ARG,CD,0.4043,0.4043
ARG,HCD,0.4043,0.4043
ARG,CG,0.1972,0.1972
ARG,HCG,0.1972,0.1972
ARG,CZ,0.5418,0.5418
ARG,HCZ,0.5418,0.5418
ARG,NE,0.511,0.511
ARG,HNE,0.511,0.511
ARG,NH1,0.8483,0.8483
ARG,HNH1,0.8483,0.8483
ARG,NH2,0.7084,0.7084
ARG,HNH2,0.7084,0.7084
SER,CB,0.0667,0.0667
SER,HCB,0.0667,0.0667
SER,OG,0.2403,0.2403
SER,HOG,0.2403,0.2403
THR,CB,0.0574,0.0574
THR,HCB,0.0574,0.0574
THR,CG2,0.1627,0.1627
THR,HCG2,0.1627,0.1627
THR,OG1,0.1821,0.1821
THR,HOG1,0.1821,0.1821
VAL,CB,0.0404,0.0404
VAL,HCB,0.0404,0.0404
VAL,CG1,0.1251,0.1251
VAL,HCG1,0.1251,0.1251
VAL,CG2,0.1378,0.1378
VAL,HCG2,0.1378,0.1378
TRP,CB,0.0564,0.0564
TRP,HCB,0.0564,0.0564
TRP,CD1,0.3182,0.3182
TRP,HCD1,0.3182,0.3182
TRP,CD2,0.2888,0.2888
TRP,HCD2,0.2888,0.2888
TRP,CE2,0.3603,0.3603
TRP,HCE2,0.3603,0.3603
TRP,CE3,0.4682,0.4682
TRP,HCE3,0.4682,0.4682
TRP,CG,0.1523,0.1523
TRP,HCG,0.1523,0.1523
TRP,CH2,0.6495,0.6495
TRP,HCH2,0.6495,0.6495
TRP,CZ2,0.5166,0.5166
TRP,HCZ2,0.5166,0.5166
TRP,CZ3,0.6474,0.6474
TRP,HCZ3,0.6474,0.6474
TRP,NE1,0.3905,0.3905
TRP,HNE1,0.3905,0.3905
TYR,CB,0.0572,0.0572
TYR,HCB,0.0572,0.0572
TYR,CD1,0.3,0.3
TYR,HCD1,0.3,0.3
TYR,CD2,0.3326,0.3326
TYR,HCD2,0.3326,0.3326
TYR,CE1,0.3815,0.3815
TYR,HCE1,0.3815,0.3815
TYR,CE2,0.4405,0.4405
TYR,HCE2,0.4405,0.4405
TYR,CG,0.1375,0.1375
TYR,HCG,0.1375,0.1375
TYR,CZ,0.39,0.39
TYR,HCZ,0.39,0.39
TYR,OH,0.5309,0.5309
TYR,HOH,0.5309,0.5309
ALA,CB,0.0589,0.0589
ALA,HCB,0.0589,0.0589
