res_type,atom_name,mu,sigma
HSP,HCG,0.1299,0.1299
HIS,ND1,0.3175,0.3175
HIS,HND1,0.3175,0.3175
HSD,ND1,0.3175,0.3175
HSP,ND1,0.3175,0.3175
HSD,HND1,0.3175,0.3175
HSP,HND1,0.3175,0.3175
HIS,NE2,0.3418,0.3418
HIS,HNE2,0.3418,0.3418
HSD,NE2,0.3418,0.3418
HSP,NE2,0.3418,0.3418
HSD,HNE2,0.3418,0.3418
HSP,HNE2,0.3418,0.3418
ILE,CB,0.0391,0.0391
ILE,HCB,0.0391,0.0391
ILE,CD1,0.2342,0.2342
ILE,HCD1,0.2342,0.2342
ILE,CG1,0.1514,0.1514
ILE,HCG1,0.1514,0.1514
ILE,CG2,0.1529,0.1529
ILE,HCG2,0.1529,0.1529
LYS,CB,0.0557,0.0557
LYS,HCB,0.0557,0.0557
LYS,CD,0.2542,0.2542
LYS,HCD,0.2542,0.2542
LYS,CE,0.3734,0.3734
LYS,HCE,0.3734,0.3734
LYS,CG,0.1623,0.1623
LYS,HCG,0.1623,0.1623
LYS,NZ,0.5033,0.5033
LYS,HNZ,0.5033,0.5033
LEU,CB,0.0571,0.0571
LEU,HCB,0.0571,0.0571
LEU,CD1,0.2255,0.2255
LEU,HCD1,0.2255,0.2255
LEU,CD2,0.2439,0.2439
LEU,HCD2,0.2439,0.2439
LEU,CG,0.1367,0.1367
LEU,HCG,0.1367,0.1367
MET,CB,0.0562,0.0562
MET,HCB,0.0562,0.0562
MET,CE,0.4004,0.4004
MET,HCE,0.4004,0.4004
MET,CG,0.1787,0.1787
MET,HCG,0.1787,0.1787
MET,SD,0.3103,0.3103
MET,HSD,0.3103,0.3103
ASN,CB,0.0561,0.0561
ASN,HCB,0.0561,0.0561
ASN,CG,0.1733,0.1733
ASN,HCG,0.1733,0.1733
ASN,ND2,0.3845,0.3845
ASN,HND2,0.3845,0.3845
ASN,OD1,0.3687,0.3687
ASN,HOD1,0.3687,0.3687
PRO,CB,0.1186,0.1186
PRO,HCB,0.1186,0.1186
PRO,CD,0.2444,0.2444
PRO,HCD,0.2444,0.2444
PRO,CG,0.2228,0.2228
PRO,HCG,0.2228,0.2228
GLN,CB,0.054,0.054
GLN,HCB,0.054,0.054
GLN,CD,0.2344,0.2344
GLN,HCD,0.2344,0.2344
GLN,CG,0.1872,0.1872
GLN,HCG,0.1872,0.1872
GLN,NE2,0.4298,0.4298
GLN,HNE2,0.4298,0.4298
GLN,OE1,0.3758,0.3758
GLN,HOE1,0.3758,0.3758
ARG,CB,0.0592,0.0592
ARG,HCB,0.0592,0.0592
ARG,CD,0.2749,0.2749
ARG,HCD,0.2749,0.2749
ARG,CG,0.1533,0.1533
ARG,HCG,0.1533,0.1533
ARG,CZ,0.3687,0.3687
ARG,HCZ,0.3687,0.3687
ARG,NE,0.3146,0.3146
ARG,HNE,0.3146,0.3146
ARG,NH1,0.5378,0.5378
ARG,HNH1,0.5378,0.5378
ARG,NH2,0.526,0.526
ARG,HNH2,0.526,0.526
SER,CB,0.0667,0.0667
SER,HCB,0.0667,0.0667
SER,OG,0.2403,0.2403
SER,HOG,0.2403,0.2403
THR,CB,0.0574,0.0574
THR,HCB,0.0574,0.0574
THR,CG2,0.1621,0.1621
THR,HCG2,0.1621,0.1621
THR,OG1,0.1764,0.1764
THR,HOG1,0.1764,0.1764
VAL,CB,0.0404,0.0404
VAL,HCB,0.0404,0.0404
VAL,CG1,0.1251,0.1251
VAL,HCG1,0.1251,0.1251
VAL,CG2,0.1378,0.1378
VAL,HCG2,0.1378,0.1378
TRP,CB,0.0564,0.0564
TRP,HCB,0.0564,0.0564
TRP,CD1,0.2563,0.2563
TRP,HCD1,0.2563,0.2563
TRP,CD2,0.2034,0.2034
TRP,HCD2,0.2034,0.2034
TRP,CE2,0.2684,0.2684
TRP,HCE2,0.2684,0.2684
TRP,CE3,0.3361,0.3361
TRP,HCE3,0.3361,0.3361
TRP,CG,0.1147,0.1147
TRP,HCG,0.1147,0.1147
TRP,CH2,0.465,0.465
TRP,HCH2,0.465,0.465
TRP,CZ2,0.3789,0.3789
TRP,HCZ2,0.3789,0.3789
TRP,CZ3,0.4649,0.4649
TRP,HCZ3,0.4649,0.4649
TRP,NE1,0.312,0.312
TRP,HNE1,0.312,0.312
TYR,CB,0.0572,0.0572
TYR,HCB,0.0572,0.0572
TYR,CD1,0.2181,0.2181
TYR,HCD1,0.2181,0.2181
TYR,CD2,0.25,0.25
TYR,HCD2,0.25,0.25
TYR,CE1,0.2785,0.2785
TYR,HCE1,0.2785,0.2785
TYR,CE2,0.3298,0.3298
TYR,HCE2,0.3298,0.3298
TYR,CG,0.1071,0.1071
TYR,HCG,0.1071,0.1071
TYR,CZ,0.2927,0.2927
TYR,HCZ,0.2927,0.2927
TYR,OH,0.4028,0.4028
TYR,HOH,0.4028,0.4028
ALA,CB,0.0589,0.0589
ALA,HCB,0.0589,0.0589
