res_type,atom_name,mu,sigma
HSP,HCG,0.1355,0.1355
HIS,ND1,0.3988,0.3988
HIS,HND1,0.3988,0.3988
HSD,ND1,0.3988,0.3988
HSP,ND1,0.3988,0.3988
HSD,HND1,0.3988,0.3988
HSP,HND1,0.3988,0.3988
HIS,NE2,0.3954,0.3954
HIS,HNE2,0.3954,0.3954
HSD,NE2,0.3954,0.3954
HSP,NE2,0.3954,0.3954
HSD,HNE2,0.3954,0.3954
HSP,HNE2,0.3954,0.3954
ILE,CB,0.0391,0.0391
ILE,HCB,0.0391,0.0391
ILE,CD1,0.2473,0.2473
ILE,HCD1,0.2473,0.2473
ILE,CG1,0.1516,0.1516
ILE,HCG1,0.1516,0.1516
ILE,CG2,0.1478,0.1478
ILE,HCG2,0.1478,0.1478
LYS,CB,0.0557,0.0557
LYS,HCB,0.0557,0.0557
LYS,CD,0.3253,0.3253
LYS,HCD,0.3253,0.3253
LYS,CE,0.4398,0.4398
LYS,HCE,0.4398,0.4398
LYS,CG,0.1842,0.1842
LYS,HCG,0.1842,0.1842
LYS,NZ,0.6046,0.6046
LYS,HNZ,0.6046,0.6046
LEU,CB,0.0571,0.0571
LEU,HCB,0.0571,0.0571
LEU,CD1,0.228,0.228
LEU,HCD1,0.228,0.228
LEU,CD2,0.2556,0.2556
LEU,HCD2,0.2556,0.2556
LEU,CG,0.1487,0.1487
LEU,HCG,0.1487,0.1487
MET,CB,0.0562,0.0562
MET,HCB,0.0562,0.0562
MET,CE,0.4764,0.4764
MET,HCE,0.4764,0.4764
MET,CG,0.1692,0.1692
MET,HCG,0.1692,0.1692
MET,SD,0.313,0.313
MET,HSD,0.313,0.313
ASN,CB,0.0561,0.0561
ASN,HCB,0.0561,0.0561
ASN,CG,0.1942,0.1942
ASN,HCG,0.1942,0.1942
ASN,ND2,0.463,0.463
ASN,HND2,0.463,0.463
ASN,OD1,0.4248,0.4248
ASN,HOD1,0.4248,0.4248
PRO,CB,0.1186,0.1186
PRO,HCB,0.1186,0.1186
PRO,CD,0.2444,0.2444
PRO,HCD,0.2444,0.2444
PRO,CG,0.2228,0.2228
PRO,HCG,0.2228,0.2228
GLN,CB,0.054,0.054
GLN,HCB,0.054,0.054
GLN,CD,0.2576,0.2576
GLN,HCD,0.2576,0.2576
GLN,CG,0.217,0.217
GLN,HCG,0.217,0.217
GLN,NE2,0.551,0.551
GLN,HNE2,0.551,0.551
GLN,OE1,0.4587,0.4587
GLN,HOE1,0.4587,0.4587
ARG,CB,0.0592,0.0592
ARG,HCB,0.0592,0.0592
ARG,CD,0.3115,0.3115
ARG,HCD,0.3115,0.3115
ARG,CG,0.168,0.168
ARG,HCG,0.168,0.168
ARG,CZ,0.4512,0.4512
ARG,HCZ,0.4512,0.4512
ARG,NE,0.4153,0.4153
ARG,HNE,0.4153,0.4153
ARG,NH1,0.6714,0.6714
ARG,HNH1,0.6714,0.6714
ARG,NH2,0.6309,0.6309
ARG,HNH2,0.6309,0.6309
SER,CB,0.0667,0.0667
SER,HCB,0.0667,0.0667
SER,OG,0.2403,0.2403
SER,HOG,0.2403,0.2403
THR,CB,0.0574,0.0574
THR,HCB,0.0574,0.0574
THR,CG2,0.1627,0.1627
THR,HCG2,0.1627,0.1627
THR,OG1,0.1821,0.1821
THR,HOG1,0.1821,0.1821
VAL,CB,0.0404,0.0404
VAL,HCB,0.0404,0.0404
VAL,CG1,0.1251,0.1251
VAL,HCG1,0.1251,0.1251
VAL,CG2,0.1378,0.1378
VAL,HCG2,0.1378,0.1378
TRP,CB,0.0564,0.0564
TRP,HCB,0.0564,0.0564
TRP,CD1,0.275,0.275
TRP,HCD1,0.275,0.275
TRP,CD2,0.2414,0.2414
TRP,HCD2,0.2414,0.2414
TRP,CE2,0.303,0.303
TRP,HCE2,0.303,0.303
TRP,CE3,0.3933,0.3933
TRP,HCE3,0.3933,0.3933
TRP,CG,0.1277,0.1277
TRP,HCG,0.1277,0.1277
TRP,CH2,0.5447,0.5447
TRP,HCH2,0.5447,0.5447
TRP,CZ2,0.4369,0.4369
TRP,HCZ2,0.4369,0.4369
TRP,CZ3,0.5448,0.5448
TRP,HCZ3,0.5448,0.5448
TRP,NE1,0.3329,0.3329
TRP,HNE1,0.3329,0.3329
TYR,CB,0.0572,0.0572
TYR,HCB,0.0572,0.0572
TYR,CD1,0.2783,0.2783
TYR,HCD1,0.2783,0.2783
TYR,CD2,0.2975,0.2975
TYR,HCD2,0.2975,0.2975
TYR,CE1,0.3512,0.3512
TYR,HCE1,0.3512,0.3512
TYR,CE2,0.3841,0.3841
TYR,HCE2,0.3841,0.3841
TYR,CG,0.1223,0.1223
TYR,HCG,0.1223,0.1223
TYR,CZ,0.3423,0.3423
TYR,HCZ,0.3423,0.3423
TYR,OH,0.4666,0.4666
TYR,HOH,0.4666,0.4666
ALA,CB,0.0589,0.0589
ALA,HCB,0.0589,0.0589
