res_type,atom_name,mu,sigma
HIS,ND1,0.3985,0.3985
HIS,HND1,0.3985,0.3985
HSD,ND1,0.3985,0.3985
HSP,ND1,0.3985,0.3985
HSD,HND1,0.3985,0.3985
HSP,HND1,0.3985,0.3985
HIS,NE2,0.3825,0.3825
HIS,HNE2,0.3825,0.3825
HSD,NE2,0.3825,0.3825
HSP,NE2,0.3825,0.3825
HSD,HNE2,0.3825,0.3825
HSP,HNE2,0.3825,0.3825
ILE,CB,0.0391,0.0391
ILE,HCB,0.0391,0.0391
ILE,CD1,0.2448,0.2448
ILE,HCD1,0.2448,0.2448
ILE,CG1,0.1527,0.1527
ILE,HCG1,0.1527,0.1527
ILE,CG2,0.1486,0.1486
ILE,HCG2,0.1486,0.1486
LYS,CB,0.0557,0.0557
LYS,HCB,0.0557,0.0557
LYS,CD,0.2835,0.2835
LYS,HCD,0.2835,0.2835
LYS,CE,0.4187,0.4187
LYS,HCE,0.4187,0.4187
LYS,CG,0.1814,0.1814
LYS,HCG,0.1814,0.1814
LYS,NZ,0.5706,0.5706
LYS,HNZ,0.5706,0.5706
LEU,CB,0.0571,0.0571
LEU,HCB,0.0571,0.0571
LEU,CD1,0.2253,0.2253
LEU,HCD1,0.2253,0.2253
LEU,CD2,0.2587,0.2587
LEU,HCD2,0.2587,0.2587
LEU,CG,0.1488,0.1488
LEU,HCG,0.1488,0.1488
MET,CB,0.0562,0.0562
MET,HCB,0.0562,0.0562
MET,CE,0.4674,0.4674
MET,HCE,0.4674,0.4674
MET,CG,0.1811,0.1811
MET,HCG,0.1811,0.1811
MET,SD,0.3251,0.3251
MET,HSD,0.3251,0.3251
ASN,CB,0.0561,0.0561
ASN,HCB,0.0561,0.0561
ASN,CG,0.1863,0.1863
ASN,HCG,0.1863,0.1863
ASN,ND2,0.4409,0.4409
ASN,HND2,0.4409,0.4409
ASN,OD1,0.4094,0.4094
ASN,HOD1,0.4094,0.4094
PRO,CB,0.1186,0.1186
PRO,HCB,0.1186,0.1186
PRO,CD,0.2444,0.2444
PRO,HCD,0.2444,0.2444
PRO,CG,0.2228,0.2228
PRO,HCG,0.2228,0.2228
GLN,CB,0.054,0.054
GLN,HCB,0.054,0.054
GLN,CD,0.2475,0.2475
GLN,HCD,0.2475,0.2475
GLN,CG,0.1905,0.1905
GLN,HCG,0.1905,0.1905
GLN,NE2,0.5236,0.5236
GLN,HNE2,0.5236,0.5236
GLN,OE1,0.4722,0.4722
GLN,HOE1,0.4722,0.4722
ARG,CB,0.0592,0.0592
ARG,HCB,0.0592,0.0592
ARG,CD,0.2913,0.2913
ARG,HCD,0.2913,0.2913
ARG,CG,0.1621,0.1621
ARG,HCG,0.1621,0.1621
ARG,CZ,0.4106,0.4106
ARG,HCZ,0.4106,0.4106
ARG,NE,0.3823,0.3823
ARG,HNE,0.3823,0.3823
ARG,NH1,0.6179,0.6179
ARG,HNH1,0.6179,0.6179
ARG,NH2,0.6021,0.6021
ARG,HNH2,0.6021,0.6021
SER,CB,0.0667,0.0667
SER,HCB,0.0667,0.0667
SER,OG,0.2403,0.2403
SER,HOG,0.2403,0.2403
THR,CB,0.0574,0.0574
THR,HCB,0.0574,0.0574
THR,CG2,0.1627,0.1627
THR,HCG2,0.1627,0.1627
THR,OG1,0.1821,0.1821
THR,HOG1,0.1821,0.1821
VAL,CB,0.0404,0.0404
VAL,HCB,0.0404,0.0404
VAL,CG1,0.1251,0.1251
VAL,HCG1,0.1251,0.1251
VAL,CG2,0.1378,0.1378
VAL,HCG2,0.1378,0.1378
TRP,CB,0.0564,0.0564
TRP,HCB,0.0564,0.0564
TRP,CD1,0.298,0.298
TRP,HCD1,0.298,0.298
TRP,CD2,0.235,0.235
TRP,HCD2,0.235,0.235
TRP,CE2,0.2965,0.2965
TRP,HCE2,0.2965,0.2965
TRP,CE3,0.4012,0.4012
TRP,HCE3,0.4012,0.4012
TRP,CG,0.1281,0.1281
TRP,HCG,0.1281,0.1281
TRP,CH2,0.5401,0.5401
TRP,HCH2,0.5401,0.5401
TRP,CZ2,0.4287,0.4287
TRP,HCZ2,0.4287,0.4287
TRP,CZ3,0.5518,0.5518
TRP,HCZ3,0.5518,0.5518
TRP,NE1,0.3505,0.3505
TRP,HNE1,0.3505,0.3505
TYR,CB,0.0572,0.0572
TYR,HCB,0.0572,0.0572
TYR,CD1,0.2557,0.2557
TYR,HCD1,0.2557,0.2557
TYR,CD2,0.2788,0.2788
TYR,HCD2,0.2788,0.2788
TYR,CE1,0.3198,0.3198
TYR,HCE1,0.3198,0.3198
TYR,CE2,0.3626,0.3626
TYR,HCE2,0.3626,0.3626
TYR,CG,0.116,0.116
TYR,HCG,0.116,0.116
TYR,CZ,0.3177,0.3177
TYR,HCZ,0.3177,0.3177
TYR,OH,0.4343,0.4343
TYR,HOH,0.4343,0.4343
ALA,CB,0.0589,0.0589
ALA,HCB,0.0589,0.0589
