residue_type,atom_name,mu,sigma
HSP,HCG,0.1151,0.1151
HIS,ND1,0.2542,0.2542
HIS,HND1,0.2542,0.2542
HSD,ND1,0.2542,0.2542
HSP,ND1,0.2542,0.2542
HSD,HND1,0.2542,0.2542
HSP,HND1,0.2542,0.2542
HIS,NE2,0.2917,0.2917
HIS,HNE2,0.2917,0.2917
HSD,NE2,0.2917,0.2917
HSP,NE2,0.2917,0.2917
HSD,HNE2,0.2917,0.2917
HSP,HNE2,0.2917,0.2917
ILE,CB,0.0391,0.0391
ILE,HCB,0.0391,0.0391
ILE,CD1,0.1951,0.1951
ILE,HCD1,0.1951,0.1951
ILE,CG1,0.1401,0.1401
ILE,HCG1,0.1401,0.1401
ILE,CG2,0.1455,0.1455
ILE,HCG2,0.1455,0.1455
LYS,CB,0.0557,0.0557
LYS,HCB,0.0557,0.0557
LYS,CD,0.2262,0.2262
LYS,HCD,0.2262,0.2262
LYS,CE,0.3138,0.3138
LYS,HCE,0.3138,0.3138
LYS,CG,0.1469,0.1469
LYS,HCG,0.1469,0.1469
LYS,NZ,0.3738,0.3738
LYS,HNZ,0.3738,0.3738
LEU,CB,0.0571,0.0571
LEU,HCB,0.0571,0.0571
LEU,CD1,0.2087,0.2087
LEU,HCD1,0.2087,0.2087
LEU,CD2,0.2312,0.2312
LEU,HCD2,0.2312,0.2312
LEU,CG,0.1339,0.1339
LEU,HCG,0.1339,0.1339
MET,CB,0.0562,0.0562
MET,HCB,0.0562,0.0562
MET,CE,0.3507,0.3507
MET,HCE,0.3507,0.3507
MET,CG,0.1476,0.1476
MET,HCG,0.1476,0.1476
MET,SD,0.2673,0.2673
MET,HSD,0.2673,0.2673
ASN,CB,0.0561,0.0561
ASN,HCB,0.0561,0.0561
ASN,CG,0.1484,0.1484
ASN,HCG,0.1484,0.1484
ASN,ND2,0.2892,0.2892
ASN,HND2,0.2892,0.2892
ASN,OD1,0.2648,0.2648
ASN,HOD1,0.2648,0.2648
PRO,CB,0.1186,0.1186
PRO,HCB,0.1186,0.1186
PRO,CD,0.2444,0.2444
PRO,HCD,0.2444,0.2444
PRO,CG,0.2228,0.2228
PRO,HCG,0.2228,0.2228
GLN,CB,0.054,0.054
GLN,HCB,0.054,0.054
GLN,CD,0.199,0.199
GLN,HCD,0.199,0.199
GLN,CG,0.1572,0.1572
GLN,HCG,0.1572,0.1572
GLN,NE2,0.345,0.345
GLN,HNE2,0.345,0.345
GLN,OE1,0.3364,0.3364
GLN,HOE1,0.3364,0.3364
ARG,CB,0.0592,0.0592
ARG,HCB,0.0592,0.0592
ARG,CD,0.2535,0.2535
ARG,HCD,0.2535,0.2535
ARG,CG,0.1502,0.1502
ARG,HCG,0.1502,0.1502
ARG,CZ,0.3055,0.3055
ARG,HCZ,0.3055,0.3055
ARG,NE,0.2676,0.2676
ARG,HNE,0.2676,0.2676
ARG,NH1,0.4716,0.4716
ARG,HNH1,0.4716,0.4716
ARG,NH2,0.4346,0.4346
ARG,HNH2,0.4346,0.4346
SER,CB,0.0667,0.0667
SER,HCB,0.0667,0.0667
SER,OG,0.2223,0.2223
SER,HOG,0.2223,0.2223
THR,CB,0.0574,0.0574
THR,HCB,0.0574,0.0574
THR,CG2,0.1622,0.1622
THR,HCG2,0.1622,0.1622
THR,OG1,0.1709,0.1709
THR,HOG1,0.1709,0.1709
VAL,CB,0.0404,0.0404
VAL,HCB,0.0404,0.0404
VAL,CG1,0.1258,0.1258
VAL,HCG1,0.1258,0.1258
VAL,CG2,0.1364,0.1364
VAL,HCG2,0.1364,0.1364
TRP,CB,0.0564,0.0564
TRP,HCB,0.0564,0.0564
TRP,CD1,0.1839,0.1839
TRP,HCD1,0.1839,0.1839
TRP,CD2,0.1473,0.1473
TRP,HCD2,0.1473,0.1473
TRP,CE2,0.2058,0.2058
TRP,HCE2,0.2058,0.2058
TRP,CE3,0.2263,0.2263
TRP,HCE3,0.2263,0.2263
TRP,CG,0.0955,0.0955
TRP,HCG,0.0955,0.0955
TRP,CH2,0.3067,0.3067
TRP,HCH2,0.3067,0.3067
TRP,CZ2,0.2692,0.2692
TRP,HCZ2,0.2692,0.2692
TRP,CZ3,0.3039,0.3039
TRP,HCZ3,0.3039,0.3039
TRP,NE1,0.2422,0.2422
TRP,HNE1,0.2422,0.2422
TYR,CB,0.0572,0.0572
TYR,HCB,0.0572,0.0572
TYR,CD1,0.2275,0.2275
TYR,HCD1,0.2275,0.2275
TYR,CD2,0.2174,0.2174
TYR,HCD2,0.2174,0.2174
TYR,CE1,0.2862,0.2862
TYR,HCE1,0.2862,0.2862
TYR,CE2,0.273,0.273
TYR,HCE2,0.273,0.273
TYR,CG,0.1,0.1
TYR,HCG,0.1,0.1
TYR,CZ,0.2521,0.2521
TYR,HCZ,0.2521,0.2521
TYR,OH,0.3439,0.3439
TYR,HOH,0.3439,0.3439
ALA,CB,0.0589,0.0589
ALA,HCB,0.0589,0.0589
