res_type,atom_name,mu,sigma
HSP,HCG,0.098,0.098
HIS,ND1,0.2125,0.2125
HIS,HND1,0.2125,0.2125
HSD,ND1,0.2125,0.2125
HSP,ND1,0.2125,0.2125
HSD,HND1,0.2125,0.2125
HSP,HND1,0.2125,0.2125
HIS,NE2,0.2383,0.2383
HIS,HNE2,0.2383,0.2383
HSD,NE2,0.2383,0.2383
HSP,NE2,0.2383,0.2383
HSD,HNE2,0.2383,0.2383
HSP,HNE2,0.2383,0.2383
ILE,CB,0.0391,0.0391
ILE,HCB,0.0391,0.0391
ILE,CD1,0.1794,0.1794
ILE,HCD1,0.1794,0.1794
ILE,CG1,0.1212,0.1212
ILE,HCG1,0.1212,0.1212
ILE,CG2,0.1256,0.1256
ILE,HCG2,0.1256,0.1256
LYS,CB,0.0557,0.0557
LYS,HCB,0.0557,0.0557
LYS,CD,0.1927,0.1927
LYS,HCD,0.1927,0.1927
LYS,CE,0.2423,0.2423
LYS,HCE,0.2423,0.2423
LYS,CG,0.1321,0.1321
LYS,HCG,0.1321,0.1321
LYS,NZ,0.298,0.298
LYS,HNZ,0.298,0.298
LEU,CB,0.0571,0.0571
LEU,HCB,0.0571,0.0571
LEU,CD1,0.1856,0.1856
LEU,HCD1,0.1856,0.1856
LEU,CD2,0.1855,0.1855
LEU,HCD2,0.1855,0.1855
LEU,CG,0.113,0.113
LEU,HCG,0.113,0.113
MET,CB,0.0562,0.0562
MET,HCB,0.0562,0.0562
MET,CE,0.2903,0.2903
MET,HCE,0.2903,0.2903
MET,CG,0.1373,0.1373
MET,HCG,0.1373,0.1373
MET,SD,0.2391,0.2391
MET,HSD,0.2391,0.2391
ASN,CB,0.0561,0.0561
ASN,HCB,0.0561,0.0561
ASN,CG,0.1248,0.1248
ASN,HCG,0.1248,0.1248
ASN,ND2,0.2357,0.2357
ASN,HND2,0.2357,0.2357
ASN,OD1,0.2123,0.2123
ASN,HOD1,0.2123,0.2123
PRO,CB,0.1186,0.1186
PRO,HCB,0.1186,0.1186
PRO,CD,0.2444,0.2444
PRO,HCD,0.2444,0.2444
PRO,CG,0.2228,0.2228
PRO,HCG,0.2228,0.2228
GLN,CB,0.054,0.054
GLN,HCB,0.054,0.054
GLN,CD,0.1649,0.1649
GLN,HCD,0.1649,0.1649
GLN,CG,0.1414,0.1414
GLN,HCG,0.1414,0.1414
GLN,NE2,0.2823,0.2823
GLN,HNE2,0.2823,0.2823
GLN,OE1,0.288,0.288
GLN,HOE1,0.288,0.288
ARG,CB,0.0592,0.0592
ARG,HCB,0.0592,0.0592
ARG,CD,0.2376,0.2376
ARG,HCD,0.2376,0.2376
ARG,CG,0.1365,0.1365
ARG,HCG,0.1365,0.1365
ARG,CZ,0.2568,0.2568
ARG,HCZ,0.2568,0.2568
ARG,NE,0.2531,0.2531
ARG,HNE,0.2531,0.2531
ARG,NH1,0.4199,0.4199
ARG,HNH1,0.4199,0.4199
ARG,NH2,0.3795,0.3795
ARG,HNH2,0.3795,0.3795
SER,CB,0.0667,0.0667
SER,HCB,0.0667,0.0667
SER,OG,0.1786,0.1786
SER,HOG,0.1786,0.1786
THR,CB,0.0574,0.0574
THR,HCB,0.0574,0.0574
THR,CG2,0.1504,0.1504
THR,HCG2,0.1504,0.1504
THR,OG1,0.1539,0.1539
THR,HOG1,0.1539,0.1539
VAL,CB,0.0404,0.0404
VAL,HCB,0.0404,0.0404
VAL,CG1,0.1201,0.1201
VAL,HCG1,0.1201,0.1201
VAL,CG2,0.1356,0.1356
VAL,HCG2,0.1356,0.1356
TRP,CB,0.0564,0.0564
TRP,HCB,0.0564,0.0564
TRP,CD1,0.1562,0.1562
TRP,HCD1,0.1562,0.1562
TRP,CD2,0.1281,0.1281
TRP,HCD2,0.1281,0.1281
TRP,CE2,0.1825,0.1825
TRP,HCE2,0.1825,0.1825
TRP,CE3,0.1798,0.1798
TRP,HCE3,0.1798,0.1798
TRP,CG,0.0887,0.0887
TRP,HCG,0.0887,0.0887
TRP,CH2,0.2534,0.2534
TRP,HCH2,0.2534,0.2534
TRP,CZ2,0.2394,0.2394
TRP,HCZ2,0.2394,0.2394
TRP,CZ3,0.2392,0.2392
TRP,HCZ3,0.2392,0.2392
TRP,NE1,0.2038,0.2038
TRP,HNE1,0.2038,0.2038
TYR,CB,0.0572,0.0572
TYR,HCB,0.0572,0.0572
TYR,CD1,0.175,0.175
TYR,HCD1,0.175,0.175
TYR,CD2,0.1685,0.1685
TYR,HCD2,0.1685,0.1685
TYR,CE1,0.2223,0.2223
TYR,HCE1,0.2223,0.2223
TYR,CE2,0.2123,0.2123
TYR,HCE2,0.2123,0.2123
TYR,CG,0.0872,0.0872
TYR,HCG,0.0872,0.0872
TYR,CZ,0.2097,0.2097
TYR,HCZ,0.2097,0.2097
TYR,OH,0.2971,0.2971
TYR,HOH,0.2971,0.2971
ALA,CB,0.0589,0.0589
ALA,HCB,0.0589,0.0589
