res_type,atom_name,mu,sigma
HSP,HCG,0.2081,0.2081
HIS,ND1,0.4732,0.4732
HIS,HND1,0.4732,0.4732
HSD,ND1,0.4732,0.4732
HSP,ND1,0.4732,0.4732
HSD,HND1,0.4732,0.4732
HSP,HND1,0.4732,0.4732
HIS,NE2,0.5656,0.5656
HIS,HNE2,0.5656,0.5656
HSD,NE2,0.5656,0.5656
HSP,NE2,0.5656,0.5656
HSD,HNE2,0.5656,0.5656
HSP,HNE2,0.5656,0.5656
ILE,CB,0.0391,0.0391
ILE,HCB,0.0391,0.0391
ILE,CD1,0.5134,0.5134
ILE,HCD1,0.5134,0.5134
ILE,CG1,0.1565,0.1565
ILE,HCG1,0.1565,0.1565
ILE,CG2,0.1553,0.1553
ILE,HCG2,0.1553,0.1553
LYS,CB,0.0557,0.0557
LYS,HCB,0.0557,0.0557
LYS,CD,0.3646,0.3646
LYS,HCD,0.3646,0.3646
LYS,CE,0.5352,0.5352
LYS,HCE,0.5352,0.5352
LYS,CG,0.1905,0.1905
LYS,HCG,0.1905,0.1905
LYS,NZ,0.8608,0.8608
LYS,HNZ,0.8608,0.8608
LEU,CB,0.0571,0.0571
LEU,HCB,0.0571,0.0571
LEU,CD1,0.2681,0.2681
LEU,HCD1,0.2681,0.2681
LEU,CD2,0.2822,0.2822
LEU,HCD2,0.2822,0.2822
LEU,CG,0.1571,0.1571
LEU,HCG,0.1571,0.1571
MET,CB,0.0562,0.0562
MET,HCB,0.0562,0.0562
MET,CE,1.1724,1.1724
MET,HCE,1.1724,1.1724
MET,CG,0.2226,0.2226
MET,HCG,0.2226,0.2226
MET,SD,0.4257,0.4257
MET,HSD,0.4257,0.4257
ASN,CB,0.0561,0.0561
ASN,HCB,0.0561,0.0561
ASN,CG,0.2356,0.2356
ASN,HCG,0.2356,0.2356
ASN,ND2,0.7128,0.7128
ASN,HND2,0.7128,0.7128
ASN,OD1,0.6436,0.6436
ASN,HOD1,0.6436,0.6436
PRO,CB,0.1186,0.1186
PRO,HCB,0.1186,0.1186
PRO,CD,0.2444,0.2444
PRO,HCD,0.2444,0.2444
PRO,CG,0.2228,0.2228
PRO,HCG,0.2228,0.2228
GLN,CB,0.054,0.054
GLN,HCB,0.054,0.054
GLN,CD,0.311,0.311
GLN,HCD,0.311,0.311
GLN,CG,0.2183,0.2183
GLN,HCG,0.2183,0.2183
GLN,NE2,0.7879,0.7879
GLN,HNE2,0.7879,0.7879
GLN,OE1,0.7275,0.7275
GLN,HOE1,0.7275,0.7275
ARG,CB,0.0592,0.0592
ARG,HCB,0.0592,0.0592
ARG,CD,0.407,0.407
ARG,HCD,0.407,0.407
ARG,CG,0.2086,0.2086
ARG,HCG,0.2086,0.2086
ARG,CZ,0.6053,0.6053
ARG,HCZ,0.6053,0.6053
ARG,NE,0.5421,0.5421
ARG,HNE,0.5421,0.5421
ARG,NH1,0.8882,0.8882
ARG,HNH1,0.8882,0.8882
ARG,NH2,0.7681,0.7681
ARG,HNH2,0.7681,0.7681
SER,CB,0.0667,0.0667
SER,HCB,0.0667,0.0667
SER,OG,0.5262,0.5262
SER,HOG,0.5262,0.5262
THR,CB,0.0574,0.0574
THR,HCB,0.0574,0.0574
THR,CG2,0.1627,0.1627
THR,HCG2,0.1627,0.1627
THR,OG1,0.1821,0.1821
THR,HOG1,0.1821,0.1821
VAL,CB,0.0404,0.0404
VAL,HCB,0.0404,0.0404
VAL,CG1,0.1251,0.1251
VAL,HCG1,0.1251,0.1251
VAL,CG2,0.1378,0.1378
VAL,HCG2,0.1378,0.1378
TRP,CB,0.0564,0.0564
TRP,HCB,0.0564,0.0564
TRP,CD1,0.3389,0.3389
TRP,HCD1,0.3389,0.3389
TRP,CD2,0.3371,0.3371
TRP,HCD2,0.3371,0.3371
TRP,CE2,0.417,0.417
TRP,HCE2,0.417,0.417
TRP,CE3,0.5255,0.5255
TRP,HCE3,0.5255,0.5255
TRP,CG,0.1721,0.1721
TRP,HCG,0.1721,0.1721
TRP,CH2,0.7411,0.7411
TRP,HCH2,0.7411,0.7411
TRP,CZ2,0.5956,0.5956
TRP,HCZ2,0.5956,0.5956
TRP,CZ3,0.7284,0.7284
TRP,HCZ3,0.7284,0.7284
TRP,NE1,0.4201,0.4201
TRP,HNE1,0.4201,0.4201
TYR,CB,0.0572,0.0572
TYR,HCB,0.0572,0.0572
TYR,CD1,0.3603,0.3603
TYR,HCD1,0.3603,0.3603
TYR,CD2,0.3792,0.3792
TYR,HCD2,0.3792,0.3792
TYR,CE1,0.4551,0.4551
TYR,HCE1,0.4551,0.4551
TYR,CE2,0.4957,0.4957
TYR,HCE2,0.4957,0.4957
TYR,CG,0.1571,0.1571
TYR,HCG,0.1571,0.1571
TYR,CZ,0.4402,0.4402
TYR,HCZ,0.4402,0.4402
TYR,OH,0.586,0.586
TYR,HOH,0.586,0.586
ALA,CB,0.0589,0.0589
ALA,HCB,0.0589,0.0589
