res_type,atom_name,mu,sigma
HSP,HCG,0.2017,0.2017
HIS,ND1,0.8214,0.8214
HIS,HND1,0.8214,0.8214
HSD,ND1,0.8214,0.8214
HSP,ND1,0.8214,0.8214
HSD,HND1,0.8214,0.8214
HSP,HND1,0.8214,0.8214
HIS,NE2,0.5655,0.5655
HIS,HNE2,0.5655,0.5655
HSD,NE2,0.5655,0.5655
HSP,NE2,0.5655,0.5655
HSD,HNE2,0.5655,0.5655
HSP,HNE2,0.5655,0.5655
ILE,CB,0.0391,0.0391
ILE,HCB,0.0391,0.0391
ILE,CD1,1.0776,1.0776
ILE,HCD1,1.0776,1.0776
ILE,CG1,0.2694,0.2694
ILE,HCG1,0.2694,0.2694
ILE,CG2,0.2634,0.2634
ILE,HCG2,0.2634,0.2634
LYS,CB,0.0557,0.0557
LYS,HCB,0.0557,0.0557
LYS,CD,0.3702,0.3702
LYS,HCD,0.3702,0.3702
LYS,CE,0.69,0.69
LYS,HCE,0.69,0.69
LYS,CG,0.2303,0.2303
LYS,HCG,0.2303,0.2303
LYS,NZ,1.0183,1.0183
LYS,HNZ,1.0183,1.0183
LEU,CB,0.0571,0.0571
LEU,HCB,0.0571,0.0571
LEU,CD1,0.3062,0.3062
LEU,HCD1,0.3062,0.3062
LEU,CD2,0.3369,0.3369
LEU,HCD2,0.3369,0.3369
LEU,CG,0.1562,0.1562
LEU,HCG,0.1562,0.1562
MET,CB,0.0562,0.0562
MET,HCB,0.0562,0.0562
MET,CE,1.1623,1.1623
MET,HCE,1.1623,1.1623
MET,CG,0.4079,0.4079
MET,HCG,0.4079,0.4079
MET,SD,0.6301,0.6301
MET,HSD,0.6301,0.6301
ASN,CB,0.0561,0.0561
ASN,HCB,0.0561,0.0561
ASN,CG,0.1936,0.1936
ASN,HCG,0.1936,0.1936
ASN,ND2,0.8036,0.8036
ASN,HND2,0.8036,0.8036
ASN,OD1,0.728,0.728
ASN,HOD1,0.728,0.728
PRO,CB,0.1186,0.1186
PRO,HCB,0.1186,0.1186
PRO,CD,0.2444,0.2444
PRO,HCD,0.2444,0.2444
PRO,CG,0.2228,0.2228
PRO,HCG,0.2228,0.2228
GLN,CB,0.054,0.054
GLN,HCB,0.054,0.054
GLN,CD,0.3068,0.3068
GLN,HCD,0.3068,0.3068
GLN,CG,0.2104,0.2104
GLN,HCG,0.2104,0.2104
GLN,NE2,0.8779,0.8779
GLN,HNE2,0.8779,0.8779
GLN,OE1,0.7763,0.7763
GLN,HOE1,0.7763,0.7763
ARG,CB,0.0592,0.0592
ARG,HCB,0.0592,0.0592
ARG,CD,0.5043,0.5043
ARG,HCD,0.5043,0.5043
ARG,CG,0.3103,0.3103
ARG,HCG,0.3103,0.3103
ARG,CZ,0.8378,0.8378
ARG,HCZ,0.8378,0.8378
ARG,NE,0.6998,0.6998
ARG,HNE,0.6998,0.6998
ARG,NH1,1.2101,1.2101
ARG,HNH1,1.2101,1.2101
ARG,NH2,0.9921,0.9921
ARG,HNH2,0.9921,0.9921
SER,CB,0.0667,0.0667
SER,HCB,0.0667,0.0667
SER,OG,1.1818,1.1818
SER,HOG,1.1818,1.1818
THR,CB,0.0574,0.0574
THR,HCB,0.0574,0.0574
THR,CG2,0.9914,0.9914
THR,HCG2,0.9914,0.9914
THR,OG1,0.9325,0.9325
THR,HOG1,0.9325,0.9325
VAL,CB,0.0404,0.0404
VAL,HCB,0.0404,0.0404
VAL,CG1,1.2286,1.2286
VAL,HCG1,1.2286,1.2286
VAL,CG2,1.2308,1.2308
VAL,HCG2,1.2308,1.2308
TRP,CB,0.0564,0.0564
TRP,HCB,0.0564,0.0564
TRP,CD1,0.3756,0.3756
TRP,HCD1,0.3756,0.3756
TRP,CD2,0.3963,0.3963
TRP,HCD2,0.3963,0.3963
TRP,CE2,0.4769,0.4769
TRP,HCE2,0.4769,0.4769
TRP,CE3,0.6324,0.6324
TRP,HCE3,0.6324,0.6324
TRP,CG,0.1871,0.1871
TRP,HCG,0.1871,0.1871
TRP,CH2,0.8856,0.8856
TRP,HCH2,0.8856,0.8856
TRP,CZ2,0.6941,0.6941
TRP,HCZ2,0.6941,0.6941
TRP,CZ3,0.8771,0.8771
TRP,HCZ3,0.8771,0.8771
TRP,NE1,0.4663,0.4663
TRP,HNE1,0.4663,0.4663
TYR,CB,0.0572,0.0572
TYR,HCB,0.0572,0.0572
TYR,CD1,0.4043,0.4043
TYR,HCD1,0.4043,0.4043
TYR,CD2,0.4087,0.4087
TYR,HCD2,0.4087,0.4087
TYR,CE1,0.524,0.524
TYR,HCE1,0.524,0.524
TYR,CE2,0.5483,0.5483
TYR,HCE2,0.5483,0.5483
TYR,CG,0.1773,0.1773
TYR,HCG,0.1773,0.1773
TYR,CZ,0.5156,0.5156
TYR,HCZ,0.5156,0.5156
TYR,OH,0.6953,0.6953
TYR,HOH,0.6953,0.6953
ALA,CB,0.0589,0.0589
ALA,HCB,0.0589,0.0589
