res_type,atom_name,mu,sigma
HSP,HCG,0.1754,0.1754
HIS,ND1,0.6257,0.6257
HIS,HND1,0.6257,0.6257
HSD,ND1,0.6257,0.6257
HSP,ND1,0.6257,0.6257
HSD,HND1,0.6257,0.6257
HSP,HND1,0.6257,0.6257
HIS,NE2,0.6241,0.6241
HIS,HNE2,0.6241,0.6241
HSD,NE2,0.6241,0.6241
HSP,NE2,0.6241,0.6241
HSD,HNE2,0.6241,0.6241
HSP,HNE2,0.6241,0.6241
ILE,CB,0.0391,0.0391
ILE,HCB,0.0391,0.0391
ILE,CD1,1.7471,1.7471
ILE,HCD1,1.7471,1.7471
ILE,CG1,1.3699,1.3699
ILE,HCG1,1.3699,1.3699
ILE,CG2,1.3757,1.3757
ILE,HCG2,1.3757,1.3757
LYS,CB,0.0557,0.0557
LYS,HCB,0.0557,0.0557
LYS,CD,0.8761,0.8761
LYS,HCD,0.8761,0.8761
LYS,CE,1.1582,1.1582
LYS,HCE,1.1582,1.1582
LYS,CG,0.3295,0.3295
LYS,HCG,0.3295,0.3295
LYS,NZ,1.785,1.785
LYS,HNZ,1.785,1.785
LEU,CB,0.0571,0.0571
LEU,HCB,0.0571,0.0571
LEU,CD1,0.8805,0.8805
LEU,HCD1,0.8805,0.8805
LEU,CD2,1.006,1.006
LEU,HCD2,1.006,1.006
LEU,CG,0.6084,0.6084
LEU,HCG,0.6084,0.6084
MET,CB,0.0562,0.0562
MET,HCB,0.0562,0.0562
MET,CE,1.847,1.847
MET,HCE,1.847,1.847
MET,CG,0.519,0.519
MET,HCG,0.519,0.519
MET,SD,1.1305,1.1305
MET,HSD,1.1305,1.1305
ASN,CB,0.0561,0.0561
ASN,HCB,0.0561,0.0561
ASN,CG,0.685,0.685
ASN,HCG,0.685,0.685
ASN,ND2,1.3569,1.3569
ASN,HND2,1.3569,1.3569
ASN,OD1,1.2585,1.2585
ASN,HOD1,1.2585,1.2585
PRO,CB,0.1186,0.1186
PRO,HCB,0.1186,0.1186
PRO,CD,0.2444,0.2444
PRO,HCD,0.2444,0.2444
PRO,CG,0.2228,0.2228
PRO,HCG,0.2228,0.2228
GLN,CB,0.054,0.054
GLN,HCB,0.054,0.054
GLN,CD,0.8467,0.8467
GLN,HCD,0.8467,0.8467
GLN,CG,0.4301,0.4301
GLN,HCG,0.4301,0.4301
GLN,NE2,1.4245,1.4245
GLN,HNE2,1.4245,1.4245
GLN,OE1,1.4316,1.4316
GLN,HOE1,1.4316,1.4316
ARG,CB,0.0592,0.0592
ARG,HCB,0.0592,0.0592
ARG,CD,0.8648,0.8648
ARG,HCD,0.8648,0.8648
ARG,CG,0.4427,0.4427
ARG,HCG,0.4427,0.4427
ARG,CZ,1.5699,1.5699
ARG,HCZ,1.5699,1.5699
ARG,NE,1.2005,1.2005
ARG,HNE,1.2005,1.2005
ARG,NH1,1.9598,1.9598
ARG,HNH1,1.9598,1.9598
ARG,NH2,1.9072,1.9072
ARG,HNH2,1.9072,1.9072
SER,CB,0.0667,0.0667
SER,HCB,0.0667,0.0667
SER,OG,1.1818,1.1818
SER,HOG,1.1818,1.1818
THR,CB,0.0574,0.0574
THR,HCB,0.0574,0.0574
THR,CG2,0.9914,0.9914
THR,HCG2,0.9914,0.9914
THR,OG1,0.9325,0.9325
THR,HOG1,0.9325,0.9325
VAL,CB,0.0404,0.0404
VAL,HCB,0.0404,0.0404
VAL,CG1,1.2286,1.2286
VAL,HCG1,1.2286,1.2286
VAL,CG2,1.2308,1.2308
VAL,HCG2,1.2308,1.2308
TRP,CB,0.0564,0.0564
TRP,HCB,0.0564,0.0564
TRP,CD1,0.9644,0.9644
TRP,HCD1,0.9644,0.9644
TRP,CD2,0.7184,0.7184
TRP,HCD2,0.7184,0.7184
TRP,CE2,0.6793,0.6793
TRP,HCE2,0.6793,0.6793
TRP,CE3,1.3495,1.3495
TRP,HCE3,1.3495,1.3495
TRP,CG,0.2671,0.2671
TRP,HCG,0.2671,0.2671
TRP,CH2,1.7166,1.7166
TRP,HCH2,1.7166,1.7166
TRP,CZ2,1.1462,1.1462
TRP,HCZ2,1.1462,1.1462
TRP,CZ3,1.842,1.842
TRP,HCZ3,1.842,1.842
TRP,NE1,0.9715,0.9715
TRP,HNE1,0.9715,0.9715
TYR,CB,0.0572,0.0572
TYR,HCB,0.0572,0.0572
TYR,CD1,0.4148,0.4148
TYR,HCD1,0.4148,0.4148
TYR,CD2,0.415,0.415
TYR,HCD2,0.415,0.415
TYR,CE1,0.5395,0.5395
TYR,HCE1,0.5395,0.5395
TYR,CE2,0.5591,0.5591
TYR,HCE2,0.5591,0.5591
TYR,CG,0.1792,0.1792
TYR,HCG,0.1792,0.1792
TYR,CZ,0.5291,0.5291
TYR,HCZ,0.5291,0.5291
TYR,OH,0.7164,0.7164
TYR,HOH,0.7164,0.7164
ALA,CB,0.0589,0.0589
ALA,HCB,0.0589,0.0589
