res_type,atom_name,force_field_type,location,partial_charge
HSE,ND1,N_R,side,-0.32113
HSE,CD2,C_R,side,0.02266
HSE,HCD2,H_,side,0.09941
HSE,CE1,C_R,side,0.16607
HSE,HCE1,H_,side,0.12675
HSE,NE2,N_R,side,-0.44208
HSE,HNE2,H___A,side,0.17583
HSP,N,N_R,back,-0.36910
HSP,HN,H___A,back,0.25090
HSP,CA,C_3,back,-0.03165
HSP,HCA,H_,back,0.22426
HSP,C,C_R,back,0.27455
HSP,O,O_2,back,-0.34896
HSP,CB,C_3,side,0.02826
HSP,HCB,H_,side,0.04894
HSP,HCB,H_,side,0.04894
HSP,CG,C_R,side,-0.00967
HSP,ND1,N_R,side,-0.47965
HSP,HND1,H___A,side,0.14743
HSP,CD2,C_R,side,0.08723
HSP,HCD2,H_,side,0.07315
HSP,CE1,C_R,side,0.23032
HSP,HCE1,H_,side,0.11030
HSP,NE2,N_R,side,-0.45344
HSP,HNE2,H___A,side,0.16823
ILE,N,N_R,back,-0.36910
ILE,HN,H___A,back,0.25090
ILE,CA,C_3,back,-0.03165
ILE,HCA,H_,back,0.22426
ILE,C,C_R,back,0.27455
ILE,O,O_2,back,-0.34896
ILE,CB,C_3,side,-0.15135
ILE,HCB,H_,side,0.14201
ILE,CG1,C_3,side,-0.24965
ILE,HCG1,H_,side,0.13486
ILE,HCG1,H_,side,0.13486
ILE,CG2,C_3,side,-0.32482
ILE,HCG2,H_,side,0.11175
ILE,HCG2,H_,side,0.11175
ILE,HCG2,H_,side,0.11175
ILE,CD1,C_3,side,-0.36703
ILE,HCD1,H_,side,0.11529
ILE,HCD1,H_,side,0.11529
ILE,HCD1,H_,side,0.11529
LEU,N,N_R,back,-0.36910
LEU,HN,H___A,back,0.25090
LEU,CA,C_3,back,-0.03165
LEU,HCA,H_,back,0.22426
LEU,C,C_R,back,0.27455
LEU,O,O_2,back,-0.34896
LEU,CB,C_3,side,-0.21651
LEU,HCB,H_,side,0.12156
LEU,HCB,H_,side,0.12156
LEU,CG,C_3,side,-0.20671
LEU,HCG,H_,side,0.15596
LEU,CD1,C_3,side,-0.33554
LEU,HCD1,H_,side,0.11587
LEU,HCD1,H_,side,0.11587
LEU,HCD1,H_,side,0.11587
LEU,CD2,C_3,side,-0.33554
LEU,HCD2,H_,side,0.11587
LEU,HCD2,H_,side,0.11587
LEU,HCD2,H_,side,0.11587
LYS,N,N_R,back,-0.36910
LYS,HN,H___A,back,0.25090
LYS,CA,C_3,back,-0.03165
LYS,HCA,H_,back,0.22426
LYS,C,C_R,back,0.27455
LYS,O,O_2,back,-0.34896
LYS,CB,C_3,side,0.00399
LYS,HCB,H_,side,0.08402
LYS,HCB,H_,side,0.08402
LYS,CG,C_3,side,-0.24690
LYS,HCG,H_,side,0.09802
LYS,HCG,H_,side,0.09802
LYS,CD,C_3,side,-0.29706
LYS,HCD,H_,side,0.10007
LYS,HCD,H_,side,0.10007
LYS,CE,C_3,side,-0.18511
LYS,HCE,H_,side,0.11775
LYS,HCE,H_,side,0.11775
LYS,NZ,N_3,side,-0.53262
LYS,HNZ,H___A,side,0.15266
LYS,HNZ,H___A,side,0.15266
LYS,HNZ,H___A,side,0.15266
LYN,N,N_R,back,-0.36910
LYN,HN,H___A,back,0.25090
LYN,CA,C_3,back,-0.03165
LYN,HCA,H_,back,0.22426
LYN,C,C_R,back,0.27455
LYN,O,O_2,back,-0.34896
LYN,CB,C_3,side,-0.23792
LYN,HCB,H_,side,0.12268
LYN,HCB,H_,side,0.12268
LYN,CG,C_3,side,-0.27772
LYN,HCG,H_,side,0.13640
LYN,HCG,H_,side,0.13640
LYN,CD,C_3,side,-0.24200
LYN,HCD,H_,side,0.14783
LYN,HCD,H_,side,0.14783
LYN,CE,C_3,side,-0.19892
LYN,HCE,H_,side,0.14114
LYN,HCE,H_,side,0.14114
LYN,NZ,N_3P,side,-0.50026
LYN,HNZ,H___A,side,0.18036
LYN,HNZ,H___A,side,0.18036
MET,N,N_R,back,-0.36910
MET,HN,H___A,back,0.25090
MET,CA,C_3,back,-0.03165
MET,HCA,H_,back,0.22426
MET,C,C_R,back,0.27455
MET,O,O_2,back,-0.34896
MET,CB,C_3,side,-0.26915
MET,HCB,H_,side,0.11444
MET,HCB,H_,side,0.11444
MET,CG,C_3,side,-0.29923
MET,HCG,H_,side,0.11991
MET,HCG,H_,side,0.11991
MET,SD,S_3,side,0.21093
MET,CE,C_3,side,-0.40768
MET,HCE,H_,side,0.09881
MET,HCE,H_,side,0.09881
MET,HCE,H_,side,0.09881
PHE,N,N_R,back,-0.36910
PHE,HN,H___A,back,0.25090
PHE,CA,C_3,back,-0.03165
PHE,HCA,H_,back,0.22426
PHE,C,C_R,back,0.27455
PHE,O,O_2,back,-0.34896
PHE,CB,C_3,side,-0.23238
PHE,HCB,H_,side,0.09936
PHE,HCB,H_,side,0.09936
PHE,CG,C_R,side,0.00626
PHE,CD1,C_R,side,-0.07417
PHE,HCD1,H_,side,0.10048
PHE,CD2,C_R,side,-0.07417
PHE,HCD2,H_,side,0.10048
PHE,CE1,C_R,side,-0.11103
PHE,HCE1,H_,side,0.10035
PHE,CE2,C_R,side,-0.11103
PHE,HCE2,H_,side,0.10035
PHE,CZ,C_R,side,-0.10756
PHE,HCZ,H_,side,0.10370
PRO,N,N_R,back,-0.29671
PRO,CA,C_3,back,0.07225
PRO,HCA,H_,back,0.10840
PRO,C,C_2,back,0.28178
PRO,O,O_2,back,-0.34112
PRO,CB,C_3,back,-0.24263
PRO,HCB,H_,back,0.10515
PRO,HCB,H_,back,0.10515
PRO,CG,C_3,back,-0.23077
PRO,HCG,H_,back,0.11867
PRO,HCG,H_,back,0.11867
PRO,CD,C_3,back,-0.05342
PRO,HCD,H_,back,0.12729
PRO,HCD,H_,back,0.12729
SER,N,N_R,back,-0.36910
SER,HN,H___A,back,0.25090
SER,CA,C_3,back,-0.03165
SER,HCA,H_,back,0.22426
SER,C,C_R,back,0.27455
SER,O,O_2,back,-0.34896
SER,CB,C_3,side,-0.00998
SER,HCB,H_,side,0.11153
SER,HCB,H_,side,0.11153
SER,OG,O_3,side,-0.43593
SER,HOG,H___A,side,0.22285
THR,N,N_R,back,-0.36910
THR,HN,H___A,back,0.25090
THR,CA,C_3,back,-0.03165
THR,HCA,H_,back,0.22426
THR,C,C_R,back,0.27455
THR,O,O_2,back,-0.34896
THR,CB,C_3,side,0.04226
THR,HCB,H_,side,0.12904
THR,OG1,O_3,side,-0.43264
THR,HOG1,H___A,side,0.22434
THR,CG2,C_3,side,-0.28370
THR,HCG2,H_,side,0.10690
THR,HCG2,H_,side,0.10690
THR,HCG2,H_,side,0.10690
TRP,N,N_R,back,-0.36910
TRP,HN,H___A,back,0.25090
TRP,CA,C_3,back,-0.03165
TRP,HCA,H_,back,0.22426
TRP,C,C_R,back,0.27455
TRP,O,O_2,back,-0.34896
TRP,CB,C_3,side,-0.23653
TRP,HCB,H_,side,0.09874
TRP,HCB,H_,side,0.09874
TRP,CG,C_R,side,0.00032
TRP,CD1,C_R,side,-0.01512
TRP,HCD1,H_,side,0.11393
TRP,CD2,C_R,side,0.10065
TRP,NE1,N_R,side,-0.44680
TRP,HNE1,H___A,side,0.17761
TRP,CE2,C_R,side,0.15089
TRP,CE3,C_R,side,-0.10925
TRP,HCE3,H_,side,0.09741
TRP,CZ2,C_R,side,-0.07750
TRP,HCZ2,H_,side,0.10134
TRP,CZ3,C_R,side,-0.13484
TRP,HCZ3,H_,side,0.10934
TRP,CH2,C_R,side,-0.13568
TRP,HCH2,H_,side,0.10675
TYR,N,N_R,back,-0.36910
TYR,HN,H___A,back,0.25090
TYR,CA,C_3,back,-0.03165
TYR,HCA,H_,back,0.22426
TYR,C,C_R,back,0.27455
TYR,O,O_2,back,-0.34896
TYR,CB,C_3,side,-0.20527
TYR,HCB,H_,side,0.10358
TYR,HCB,H_,side,0.10358
TYR,CG,C_R,side,-0.02066
TYR,CD1,C_R,side,-0.10460
TYR,HCD1,H_,side,0.10286
TYR,CD2,C_R,side,-0.10460
TYR,HCD2,H_,side,0.10286
TYR,CE1,C_R,side,-0.05159
TYR,HCE1,H_,side,0.10560
TYR,CE2,C_R,side,-0.05159
TYR,HCE2,H_,side,0.10560
TYR,CZ,C_R,side,0.15556
TYR,OH,O_R,side,-0.45139
TYR,HOH,H___A,side,0.21006
VAL,N,N_R,back,-0.36910
VAL,HN,H___A,back,0.25090
VAL,CA,C_3,back,-0.03165
VAL,HCA,H_,back,0.22426
VAL,C,C_R,back,0.27455
VAL,O,O_2,back,-0.34896
VAL,CB,C_3,side,-0.16998
VAL,HCB,H_,side,0.14034
VAL,CG1,C_3,side,-0.32502
VAL,HCG1,H_,side,0.11328
VAL,HCG1,H_,side,0.11328
VAL,HCG1,H_,side,0.11328
VAL,CG2,C_3,side,-0.32502
VAL,HCG2,H_,side,0.11328
VAL,HCG2,H_,side,0.11328
VAL,HCG2,H_,side,0.11328
