res_type,atom_name,force_field_type,location,partial_charge
LEU,HCB,H_,side,0.09000
LEU,CG,C_3,side,-0.09000
LEU,HCG,H_,side,0.09000
LEU,CD1,C_3,side,-0.27000
LEU,HCD1,H_,side,0.09000
LEU,HCD1,H_,side,0.09000
LEU,HCD1,H_,side,0.09000
LEU,CD2,C_3,side,-0.27000
LEU,HCD2,H_,side,0.09000
LEU,HCD2,H_,side,0.09000
LEU,HCD2,H_,side,0.09000
LYS,N,N_R,back,-0.47000
LYS,HN,H___A,back,0.31000
LYS,CA,C_3,back,0.07000
LYS,HCA,H_,back,0.09000
LYS,C,C_R,back,0.51000
LYS,O,O_2,back,-0.51000
LYS,CB,C_3,side,-0.24250
LYS,HCB,H_,side,0.02750
LYS,HCB,H_,side,0.02750
LYS,CG,C_3,side,-0.24250
LYS,HCG,H_,side,0.02750
LYS,HCG,H_,side,0.02750
LYS,CD,C_3,side,-0.24250
LYS,HCD,H_,side,0.02750
LYS,HCD,H_,side,0.02750
LYS,CE,C_3,side,0.14750
LYS,HCE,H_,side,-0.01250
LYS,HCE,H_,side,-0.01250
LYS,NZ,N_3,side,-0.36250
LYS,HNZ,H___A,side,0.26750
LYS,HNZ,H___A,side,0.26750
LYS,HNZ,H___A,side,0.26750
LYN,N,N_R,back,-0.47000
LYN,HN,H___A,back,0.31000
LYN,CA,C_3,back,0.07000
LYN,HCA,H_,back,0.09000
LYN,C,C_R,back,0.51000
LYN,O,O_2,back,-0.51000
LYN,CB,C_3,side,-0.18000
LYN,HCB,H_,side,0.09000
LYN,HCB,H_,side,0.09000
LYN,CG,C_3,side,-0.18000
LYN,HCG,H_,side,0.09000
LYN,HCG,H_,side,0.09000
LYN,CD,C_3,side,-0.18000
LYN,HCD,H_,side,0.09000
LYN,HCD,H_,side,0.09000
LYN,CE,C_3,side,0.18000
LYN,HCE,H_,side,0.05000
LYN,HCE,H_,side,0.05000
LYN,NZ,N_3P,side,-0.96000
LYN,HNZ,H___A,side,0.34000
LYN,HNZ,H___A,side,0.34000
MET,N,N_R,back,-0.47000
MET,HN,H___A,back,0.31000
MET,CA,C_3,back,0.07000
MET,HCA,H_,back,0.09000
MET,C,C_R,back,0.51000
MET,O,O_2,back,-0.51000
MET,CB,C_3,side,-0.18000
MET,HCB,H_,side,0.09000
MET,HCB,H_,side,0.09000
MET,CG,C_3,side,-0.14000
MET,HCG,H_,side,0.09000
MET,HCG,H_,side,0.09000
MET,SD,S_3,side,-0.09000
MET,CE,C_3,side,-0.22000
MET,HCE,H_,side,0.09000
MET,HCE,H_,side,0.09000
MET,HCE,H_,side,0.09000
PHE,N,N_R,back,-0.47000
PHE,HN,H___A,back,0.31000
PHE,CA,C_3,back,0.07000
PHE,HCA,H_,back,0.09000
PHE,C,C_R,back,0.51000
PHE,O,O_2,back,-0.51000
PHE,CB,C_3,side,-0.18000
PHE,HCB,H_,side,0.09000
PHE,HCB,H_,side,0.09000
PHE,CG,C_R,side,0.00000
PHE,CD1,C_R,side,-0.11500
PHE,HCD1,H_,side,0.11500
PHE,CD2,C_R,side,-0.11500
PHE,HCD2,H_,side,0.11500
PHE,CE1,C_R,side,-0.11500
PHE,HCE1,H_,side,0.11500
PHE,CE2,C_R,side,-0.11500
PHE,HCE2,H_,side,0.11500
PHE,CZ,C_R,side,-0.11500
PHE,HCZ,H_,side,0.11500
PRO,N,N_R,back,-0.29000
PRO,CA,C_3,back,0.02000
PRO,HCA,H_,back,0.09000
PRO,C,C_2,back,0.51000
PRO,O,O_2,back,-0.51000
PRO,CB,C_3,back,-0.18000
PRO,HCB,H_,back,0.09000
PRO,HCB,H_,back,0.09000
PRO,CG,C_3,back,-0.18000
PRO,HCG,H_,back,0.09000
PRO,HCG,H_,back,0.09000
PRO,CD,C_3,back,0.00000
PRO,HCD,H_,back,0.09000
PRO,HCD,H_,back,0.09000
SER,N,N_R,back,-0.47000
SER,HN,H___A,back,0.31000
SER,CA,C_3,back,0.07000
SER,HCA,H_,back,0.09000
SER,C,C_R,back,0.51000
SER,O,O_2,back,-0.51000
SER,CB,C_3,side,0.05000
SER,HCB,H_,side,0.09000
SER,HCB,H_,side,0.09000
SER,OG,O_3,side,-0.66000
SER,HOG,H___A,side,0.43000
THR,N,N_R,back,-0.47000
THR,HN,H___A,back,0.31000
THR,CA,C_3,back,0.07000
THR,HCA,H_,back,0.09000
THR,C,C_R,back,0.51000
THR,O,O_2,back,-0.51000
THR,CB,C_3,side,0.14000
THR,HCB,H_,side,0.09000
THR,OG1,O_3,side,-0.66000
THR,HOG1,H___A,side,0.43000
THR,CG2,C_3,side,-0.27000
THR,HCG2,H_,side,0.09000
THR,HCG2,H_,side,0.09000
THR,HCG2,H_,side,0.09000
TRP,N,N_R,back,-0.47000
TRP,HN,H___A,back,0.31000
TRP,CA,C_3,back,0.07000
TRP,HCA,H_,back,0.09000
TRP,C,C_R,back,0.51000
TRP,O,O_2,back,-0.51000
TRP,CB,C_3,side,-0.18000
TRP,HCB,H_,side,0.09000
TRP,HCB,H_,side,0.09000
TRP,CG,C_R,side,-0.03000
TRP,CD1,C_R,side,0.03500
TRP,HCD1,H_,side,0.11500
TRP,CD2,C_R,side,-0.02000
TRP,NE1,N_R,side,-0.61000
TRP,HNE1,H___A,side,0.38000
TRP,CE2,C_R,side,0.13000
TRP,CE3,C_R,side,-0.11500
TRP,HCE3,H_,side,0.11500
TRP,CZ2,C_R,side,-0.11500
TRP,HCZ2,H_,side,0.11500
TRP,CZ3,C_R,side,-0.11500
TRP,HCZ3,H_,side,0.11500
TRP,CH2,C_R,side,-0.11500
TRP,HCH2,H_,side,0.11500
TYR,N,N_R,back,-0.47000
TYR,HN,H___A,back,0.31000
TYR,CA,C_3,back,0.07000
TYR,HCA,H_,back,0.09000
TYR,C,C_R,back,0.51000
TYR,O,O_2,back,-0.51000
TYR,CB,C_3,side,-0.18000
TYR,HCB,H_,side,0.09000
TYR,HCB,H_,side,0.09000
TYR,CG,C_R,side,0.00000
TYR,CD1,C_R,side,-0.11500
TYR,HCD1,H_,side,0.11500
TYR,CD2,C_R,side,-0.11500
TYR,HCD2,H_,side,0.11500
TYR,CE1,C_R,side,-0.11500
TYR,HCE1,H_,side,0.11500
TYR,CE2,C_R,side,-0.11500
TYR,HCE2,H_,side,0.11500
TYR,CZ,C_R,side,0.11000
TYR,OH,O_R,side,-0.54000
TYR,HOH,H___A,side,0.43000
VAL,N,N_R,back,-0.47000
VAL,HN,H___A,back,0.31000
VAL,CA,C_3,back,0.07000
VAL,HCA,H_,back,0.09000
VAL,C,C_R,back,0.51000
VAL,O,O_2,back,-0.51000
VAL,CB,C_3,side,-0.09000
VAL,HCB,H_,side,0.09000
VAL,CG1,C_3,side,-0.27000
VAL,HCG1,H_,side,0.09000
VAL,HCG1,H_,side,0.09000
VAL,HCG1,H_,side,0.09000
VAL,CG2,C_3,side,-0.27000
VAL,HCG2,H_,side,0.09000
VAL,HCG2,H_,side,0.09000
VAL,HCG2,H_,side,0.09000
